folksong,mean.entropy,mean.productivity,mean.Simpsons.D,mean.Yules.K,mean.Sichels.S,mean.Honores.H,p.range,p.entropy,p.std,i.abs.range,i.abs.mean,i.abs.std,i.mode,i.entropy,d.range,d.median,d.mode,d.entropy,d.eq.trans,d.half.trans,d.dotted.trans,len,glob.duration,note.dens,tonalness,tonal.clarity,tonal.spike,int.cont.grad.mean,int.cont.grad.std,int.cont.dir.change,step.cont.glob.var,step.cont.glob.dir,step.cont.loc.var,mode,h.contour,int.cont.glob.dir,int.contour.class,Country
ojibwa01,0.731084121869581,0.416462585034014,0.0191091701524167,146.154611504466,0.142806267806268,307.037342265334,19,0.596760768234129,5.19974791621835,19,1.08064516129032,2.83594253622084,4,0.309724245478822,0.875,1,1,0.404908868757211,0.112903225806452,0.161290322580645,0.258064516129032,63,17.375,3.62589928057554,0.796416481085597,1.24376880595419,0.190672346464593,1.90115575696315,2.39426212100735,0.333333333333333,5.63452622987019,-0.531295780261041,1.51162790697674,major,concave,-1,cccd,ojibwa
ojibwa02,0.76015197055918,0.446161241531535,0.0236276845537132,216.67099972623,0.0852810852810853,333.793849210222,19,0.645446115173955,5.32902960544278,19,0.872093023255814,2.26895421169628,4,0.373609669811275,1.875,12,7,0.451710714618578,0.523255813953488,0.27906976744186,0.0581395348837209,87,54,1.61111111111111,0.803883432621139,1.01252819112031,0.17645616016126,0.426764200783944,0.424357438073534,0.75,5.56765182704234,-0.433999125549174,1.23214285714286,major,desc-horiz,-1,cccc,ojibwa
ojibwa03,0.702871508043624,0.258384456989934,0.0232915745944253,208.207055378384,0.11424125779344,368.003552789536,19,0.507864972792838,4.97555564816584,19,1.20618556701031,2.51635543465933,4,0.344308783941813,0.875,3,2,0.496317556079462,0.175257731958763,0.237113402061856,0.247422680412371,98,43,2.27906976744186,0.797963877584992,1.01492055538984,0.229233829027763,0.724098596439022,1.77011896746826,0.25,5.12485618758188,-0.158198201507817,1.07547169811321,major,concave,-1,cccc,ojibwa
ojibwa04,0.787120833298525,0.529002760749533,0.0162806170520081,131.006648804392,0.144269293924466,299.985511338599,12,0.536384159568241,3.77854025686716,7,0.885245901639344,1.41537227912821,4,0.387702984891307,0.875,3,1,0.502657573000228,0.0327868852459016,0.114754098360656,0.459016393442623,62,22.25,2.78651685393258,0.761668477170804,1.14773354764679,0.156575110102273,1.08469387755102,1.26482057154138,0.8,3.75283720055127,-0.617196587921424,0.912280701754386,minor,descending,-1,cccc,ojibwa
ojibwa05,0.724862383126722,0.308800151657432,0.0278254220998785,249.159569638909,0.166993006993007,323.242224187927,12,0.451972100207853,3.8579939079405,7,0.986301369863014,1.72798172801659,5,0.349519432673967,0.875,3.5,2,0.395202768200875,0.26027397260274,0.452054794520548,0.0136986301369863,74,35,2.11428571428571,0.905559246420638,1.31733650661222,0.229928284525057,0.457142857142857,0.580561314149479,0,3.94149128317615,-0.630814031381968,1.33333333333333,minor,descending,-1,cccc,ojibwa
ojibwa06,0.582474536878883,0.0172058823529412,0.0202945381542641,161.573455414371,0.320851739905448,166.773769800952,10,0.421577905237386,2.64556529838738,7,0.669291338582677,1.36309124704897,5,0.312138855717424,0.75,2,2,0.290840896674203,0.464566929133858,0.464566929133858,0.015748031496063,128,75,1.70666666666667,0.780991295783054,1.0690461944852,0.241408873842787,0.0933333333333333,0,0,2.18696037891059,-0.201165667794683,1.06666666666667,major,descending,-1,cccc,ojibwa
ojibwa07,0.93977701813804,0.819047619047619,0.0161904761904762,154.195011337869,0.0444444444444444,182.057068032476,12,0.572065917240231,3.82863703404508,3,1.2,1.22474487139159,3,0.424951002717777,1.375,3.5,2,0.511095700572512,0.28,0.32,0.2,26,12,2.16666666666667,0.896937078477016,1.21076487496005,0.191672119153008,0.998319327731092,0.922963465247999,0,3.53431397747502,-0.865989103361572,0.461538461538462,major,descending,-1,bcbc,ojibwa
ojibwa08,0.697529114912971,0.203250020172663,0.032448420896127,298.373700581045,0.288696356275304,350.859878879346,20,0.574745662934466,5.49735287769486,19,1.01136363636364,2.49364395776297,6,0.405671920157662,1.4375,4,4,0.569492604960315,0.147727272727273,0.125,0.193181818181818,89,29.75,2.99159663865546,0.728424914467758,1.02820378058662,0.1885847819944,0.638694638694639,0.812015780007361,0,6.0839036602136,-0.406595204869718,1.05479452054795,minor,descending,-1,cccc,ojibwa
ojibwa09,0.83783363137215,0.459503908694101,0.0204130864002712,191.126997909407,0.240629091338769,313.281536476433,19,0.564848158554894,5.33479797597289,7,1.92063492063492,1.90332126779435,5,0.514921997701767,1.4375,12,5,0.608045369010065,0.349206349206349,0.222222222222222,0.111111111111111,64,24,2.66666666666667,0.879938935205292,1.38896339422452,0.222633490367123,0.803856526429342,1.45152004453007,0,5.72068094514897,-0.800108870567829,1.28571428571429,major,descending,-1,cccc,ojibwa
ojibwa10,0.872095962908329,0.668192918192918,0.0130721464784392,113.32490661495,0.0789452272071849,271.691592312305,24,0.560044962725905,5.78562410874433,12,2.38983050847458,3.12948684320797,7,0.567145571178165,1.625,6,3,0.610222519918035,0.288135593220339,0.152542372881356,0.0847457627118644,60,27,2.22222222222222,0.864451096134617,1.21932882151109,0.229364988118338,2.10427377081097,4.61455087872399,0.625,5.47586349253862,-0.691260538675826,1.10294117647059,major,descending,-1,dccc,ojibwa
ojibwa11,0.927939486087632,0.757391304347826,0.0181776575826919,173.667296786389,0.115294117647059,199.557260483766,17,0.640363677823339,5.73799750650132,4,2.2,1.15470053837925,3,0.560844492879201,1.7916,4,1,0.576312553991072,0.24,0.16,0.12,26,7.0833,3.67060550873181,0.905098113480598,1.44031198185906,0.227691884712433,2.40197101228287,0.380257154813224,0,5.85393299146236,-0.972027381879093,0.846153846153846,minor,descending,-1,bbbb,ojibwa
ojibwa12,0.8456712820088,0.42082301534699,0.0299917478939351,291.537451231184,0.327958410011042,290.953128158356,13,0.558644682063781,4.1970523259724,7,2.17021276595745,1.65921863402195,5,0.659046050931219,1.875,8.5,1,0.610489478742518,0.361702127659575,0.127659574468085,0.148936170212766,48,20,2.4,0.839567205192861,1.23635307042792,0.218721115099373,1.39126315789474,2.0485856843207,0.5,3.79195149018234,-0.574604991232359,1.49090909090909,minor,descending,-1,bbcb,ojibwa
ojibwa13,0.791946707839112,0.384193963098038,0.0187645698814574,173.405333590034,0.179223561540635,358.037642975405,14,0.584010221935789,3.76163514842934,12,2.22222222222222,2.15972199437116,5,0.574381077256923,1.375,4,4,0.538912919084151,0.111111111111111,0.313131313131313,0.242424242424242,100,53.5,1.86915887850467,0.82284607959403,1.03250898235342,0.171136741794942,2.54583039084217,3.44240438990434,0.441176470588235,3.87467627512246,-0.282968777733484,1.6969696969697,major,descending,-1,cdec,ojibwa
ojibwa14,0.851046738545362,0.671857142857143,0.0157701298025842,128.358616780045,0.0784762339110165,254.829371781596,20,0.579350760276093,6.46490135229839,12,2.09090909090909,2.67475868781746,5,0.517260242953624,0.9375,6,2,0.410725111145547,0.590909090909091,0.113636363636364,0.0227272727272727,45,9,5,0.840032112619679,1.1305851088971,0.20523181171538,5.88148148148148,9.28217356075233,0.333333333333333,6.37053239405334,-0.891190855056573,1.23076923076923,minor,descending,-1,cbea,ojibwa
