Signature: 61/16, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,4990;479;8;1;1;1;1;0;0
0,5000;480;1;2;0;65;0,2490;239;4;0;0;0;0;0;0
0,7500;720;1;2;240;64;0,1240;119;2;0;0;0;0;0;0
0,8750;840;1;2;360;65;0,1240;119;2;1;0;1;0;0;0
1,0000;960;1;3;0;62;0,1240;119;2;0;0;0;0;0;0
1,1250;1080;1;3;120;64;0,1240;119;2;0;0;1;1;0;0
1,2500;1200;1;3;240;60;0,0615;59;1;1;1;0;0;0;0
1,3125;1260;1;3;300;62;0,1240;119;2;0;0;1;1;1;0
1,4375;1380;1;3;420;58;0,1240;119;2;0;0;0;0;0;0
1,5625;1500;1;4;60;60;0,1240;119;2;0;0;0;0;0;0
1,6875;1620;1;4;180;57;0,1240;119;2;0;0;0;0;0;0
1,8125;1740;1;4;300;60;0,1240;119;2;0;0;1;0;0;0
1,9375;1860;1;4;420;57;0,1240;119;2;0;0;0;0;0;0
2,0625;1980;1;5;60;58;0,1240;119;2;0;1;0;0;0;0
2,1875;2100;1;5;180;55;0,2490;239;4;0;1;1;1;0;0
2,4375;2340;1;5;420;60;0,2490;239;4;0;0;0;0;0;0
2,6875;2580;1;6;180;58;0,2490;239;4;0;0;0;0;1;0
2,9375;2820;1;6;420;60;0,2490;239;4;1;0;1;0;0;0
3,1875;3060;1;7;180;62;0,1240;119;2;0;0;0;0;0;0
3,3125;3180;1;7;300;64;0,1240;119;2;0;0;0;0;0;0
3,4375;3300;1;7;420;62;0,1240;119;2;0;0;0;0;0;0
3,5625;3420;1;8;60;64;0,1240;119;2;0;1;0;1;0;0
3,6875;3540;1;8;180;65;0,1240;119;2;0;1;0;1;0;0
3,8125;3660;1;8;300;67;0,1240;119;2;0;0;0;0;0;0
3,9375;3780;1;8;420;65;0,1240;119;2;0;0;0;0;0;0
4,0625;3900;1;9;60;64;0,1240;119;2;0;0;0;0;0;0
4,1875;4020;1;9;180;62;0,4990;479;8;1;1;1;1;1;1
4,6875;4500;1;10;180;58;0,1240;119;2;0;0;0;0;0;0
4,8125;4620;1;10;300;60;0,1240;119;2;0;0;0;0;0;0
4,9375;4740;1;10;420;62;0,3740;359;6;1;0;1;0;0;0
5,3125;5100;1;11;300;60;0,1240;119;2;0;0;0;0;0;0
5,4375;5220;1;11;420;58;0,1240;119;2;0;0;0;0;0;0
5,5625;5340;1;12;60;60;0,1240;119;2;0;0;0;0;0;0
5,6875;5460;1;12;180;62;0,2490;239;4;0;0;1;1;0;0
5,9375;5700;1;12;420;67;0,3740;359;6;1;1;0;0;1;0
6,3125;6060;1;13;300;67;0,1240;119;2;0;0;0;0;0;0
6,4375;6180;1;13;420;65;0,1240;119;2;0;0;0;0;0;0
6,5625;6300;1;14;60;67;0,1240;119;2;0;0;0;0;0;0
6,6875;6420;1;14;180;69;0,1240;119;2;0;0;1;0;0;0
6,8125;6540;1;14;300;67;0,1240;119;2;0;0;0;0;0;0
6,9375;6660;1;14;420;67;0,1240;119;2;1;1;1;1;0;0
7,0625;6780;1;15;60;65;0,1240;119;2;0;0;0;0;0;0
7,1875;6900;1;15;180;65;0,1240;119;2;0;0;0;0;0;0
7,3125;7020;1;15;300;64;0,1240;119;2;1;1;0;0;0;0
7,4375;7140;1;15;420;67;0,1240;119;2;0;0;1;0;1;0
7,5625;7260;1;16;60;65;0,1240;119;2;0;0;0;0;0;0
7,6875;7380;1;16;180;65;0,1240;119;2;1;1;1;0;0;0
7,8125;7500;1;16;300;64;0,1240;119;2;0;0;0;0;0;0
7,9375;7620;1;16;420;64;0,1240;119;2;0;0;1;0;0;0
8,0625;7740;1;17;60;62;0,1240;119;2;0;0;0;0;0;0
8,1875;7860;1;17;180;64;0,1240;119;2;0;0;0;0;0;0
8,3125;7980;1;17;300;62;0,1240;119;2;0;0;0;0;0;0
8,4375;8100;1;17;420;60;0,1240;119;2;1;1;1;1;0;0
8,5625;8220;1;18;60;65;0,2490;239;4;0;0;0;0;1;0
8,8125;8460;1;18;300;64;0,2490;239;4;1;0;0;0;0;0
9,0625;8700;1;19;60;65;0,1240;119;2;0;0;0;0;0;0
9,1875;8820;1;19;180;67;0,1240;119;2;0;0;0;0;0;0
9,3125;8940;1;19;300;65;0,1240;119;2;0;0;0;0;0;0
9,4375;9060;1;19;420;64;0,1240;119;2;0;0;1;0;0;0
9,5625;9180;1;20;60;62;0,1240;119;2;0;0;0;0;0;0
9,6875;9300;1;20;180;62;0,2490;239;4;0;0;1;1;0;0
9,9375;9540;1;20;420;69;0,3740;359;6;1;1;0;0;1;0
10,3125;9900;1;21;300;67;0,1240;119;2;0;0;0;0;0;0
10,4375;10020;1;21;420;69;0,1240;119;2;0;0;0;0;0;0
10,5625;10140;1;22;60;67;0,2490;239;4;1;0;1;0;0;0
10,8125;10380;1;22;300;67;0,1240;119;2;0;0;0;0;0;0
10,9375;10500;1;22;420;65;0,1240;119;2;0;0;0;0;0;0
11,0625;10620;1;23;60;67;0,1240;119;2;0;0;0;0;0;0
11,1875;10740;1;23;180;65;0,1240;119;2;0;1;0;1;0;0
11,3125;10860;1;23;300;64;0,1240;119;2;0;0;0;0;0;0
11,4375;10980;1;23;420;62;0,1240;119;2;0;0;0;0;0;0
11,5625;11100;1;24;60;64;0,1240;119;2;0;0;0;0;0;0
11,6875;11220;1;24;180;65;0,4990;479;8;1;1;1;1;1;1
12,1875;11700;1;25;180;64;0,2490;239;4;0;0;0;0;0;0
12,4375;11940;1;25;420;65;0,1240;119;2;0;0;0;0;0;0
12,5625;12060;1;26;60;67;0,1240;119;2;1;0;0;0;0;0
12,6875;12180;1;26;180;65;0,2490;239;4;0;0;0;0;0;0
12,9375;12420;1;26;420;64;0,2490;239;4;1;1;0;1;0;0
13,1875;12660;1;27;180;65;0,1240;119;2;0;0;0;0;0;0
13,3125;12780;1;27;300;67;0,1240;119;2;0;0;0;0;0;0
13,4375;12900;1;27;420;65;0,1240;119;2;0;0;0;0;0;0
