Signature: 1/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,4990;479;2;1;0;1;0;0;0
0,5000;480;2;1;0;74;0,2490;239;1;0;0;0;0;0;0
0,7500;720;2;1;240;67;0,2490;239;1;0;0;0;0;0;0
1,0000;960;3;1;0;60;0,4990;479;2;1;1;1;0;0;0
1,5000;1440;4;1;0;76;0,2490;239;1;0;0;0;0;0;0
1,7500;1680;4;1;240;67;0,2490;239;1;0;0;0;0;0;0
2,0000;1920;5;1;0;60;0,4990;479;2;1;0;1;0;0;0
2,5000;2400;6;1;0;79;0,4990;479;2;0;0;0;0;0;0
3,0000;2880;7;1;0;79;0,9990;959;4;1;0;1;1;1;0
4,0000;3840;9;1;0;60;0,4990;479;2;0;0;0;0;0;0
4,5000;4320;10;1;0;79;0,2490;239;1;0;0;0;0;0;0
4,7500;4560;10;1;240;67;0,2490;239;1;0;0;0;0;0;0
5,0000;4800;11;1;0;60;0,4990;479;2;1;1;1;0;0;0
5,5000;5280;12;1;0;80;0,2490;239;1;0;0;0;0;0;0
5,7500;5520;12;1;240;67;0,2490;239;1;0;0;0;0;0;0
6,0000;5760;13;1;0;60;0,4990;479;2;1;0;1;0;0;0
6,5000;6240;14;1;0;84;0,4990;479;2;0;0;0;0;0;0
7,0000;6720;15;1;0;84;0,9990;959;4;1;0;1;1;1;0
8,0000;7680;17;1;0;60;0,4990;479;2;0;0;0;0;0;0
8,5000;8160;18;1;0;84;0,2490;239;1;0;0;0;0;0;0
8,7500;8400;18;1;240;67;0,2490;239;1;0;0;0;0;0;0
9,0000;8640;19;1;0;60;0,4990;479;2;1;1;1;0;0;0
9,5000;9120;20;1;0;80;0,2490;239;1;0;0;0;0;0;0
9,7500;9360;20;1;240;67;0,2490;239;1;0;0;0;0;0;0
10,0000;9600;21;1;0;60;0,4990;479;2;1;0;1;0;0;0
10,5000;10080;22;1;0;79;0,4990;479;2;0;0;0;0;0;0
11,0000;10560;23;1;0;79;0,9990;959;4;1;1;1;1;1;0
12,0000;11520;25;1;0;60;0,4990;479;2;0;0;0;0;0;0
12,5000;12000;26;1;0;76;0,2490;239;1;0;0;0;0;0;0
12,7500;12240;26;1;240;67;0,2490;239;1;0;0;0;0;0;0
13,0000;12480;27;1;0;60;0,4990;479;2;1;0;1;0;0;0
13,5000;12960;28;1;0;72;0,4990;479;2;0;0;0;0;0;0
14,0000;13440;29;1;0;72;0,9990;959;4;1;1;1;1;1;0
15,0000;14400;31;1;0;69;0,4990;479;2;0;0;0;0;0;0
15,5000;14880;32;1;0;69;0,4990;479;2;0;0;1;0;0;0
16,0000;15360;33;1;0;76;0,4990;479;2;1;0;0;0;0;0
16,5000;15840;34;1;0;74;0,2490;239;1;0;0;0;0;0;0
16,7500;16080;34;1;240;72;0,2490;239;1;0;0;0;0;0;0
17,0000;16320;35;1;0;60;0,4990;479;2;0;0;1;0;0;0
17,5000;16800;36;1;0;72;0,4990;479;2;0;0;0;0;0;0
18,0000;17280;37;1;0;72;0,9990;959;4;1;1;1;1;1;0
19,0000;18240;39;1;0;69;0,4990;479;2;0;0;0;0;0;0
19,5000;18720;40;1;0;69;0,4990;479;2;0;0;1;0;0;0
20,0000;19200;41;1;0;76;0,4990;479;2;1;0;0;0;0;0
20,5000;19680;42;1;0;74;0,2490;239;1;0;0;0;0;0;0
20,7500;19920;42;1;240;72;0,2490;239;1;0;0;0;0;0;0
21,0000;20160;43;1;0;60;0,4990;479;2;0;0;1;0;0;0
21,5000;20640;44;1;0;72;0,4990;479;2;0;0;0;0;0;0
22,0000;21120;45;1;0;72;0,9990;959;4;1;1;1;1;1;0
23,0000;22080;47;1;0;60;0,4990;479;2;0;0;0;0;0;0
23,5000;22560;48;1;0;74;0,2490;239;1;0;0;0;0;0;0
23,7500;22800;48;1;240;76;0,2490;239;1;0;0;0;0;0;0
24,0000;23040;49;1;0;60;0,4990;479;2;1;0;1;0;0;0
24,5000;23520;50;1;0;76;0,2490;239;1;0;0;0;0;0;0
24,7500;23760;50;1;240;79;0,2490;239;1;0;0;0;0;0;0
25,0000;24000;51;1;0;60;0,4990;479;2;0;0;1;0;0;0
25,5000;24480;52;1;0;79;0,4990;479;2;0;0;0;0;0;0
26,0000;24960;53;1;0;79;0,9990;959;4;1;1;1;1;1;0
27,0000;25920;55;1;0;60;0,4990;479;2;0;0;0;0;0;0
27,5000;26400;56;1;0;79;0,2490;239;1;0;0;0;0;0;0
27,7500;26640;56;1;240;81;0,2490;239;1;0;0;0;0;0;0
28,0000;26880;57;1;0;60;0,4990;479;2;1;1;1;0;0;0
28,5000;27360;58;1;0;81;0,2490;239;1;0;0;0;0;0;0
28,7500;27600;58;1;240;84;0,2490;239;1;0;0;0;0;0;0
29,0000;27840;59;1;0;60;0,4990;479;2;0;0;1;0;0;0
29,5000;28320;60;1;0;84;0,4990;479;2;0;0;0;0;0;0
30,0000;28800;61;1;0;84;0,9990;959;4;1;0;1;1;1;0
31,0000;29760;63;1;0;60;0,4990;479;2;0;0;0;0;0;0
31,5000;30240;64;1;0;84;0,2490;239;1;0;0;0;0;0;0
31,7500;30480;64;1;240;67;0,2490;239;1;0;0;0;0;0;0
32,0000;30720;65;1;0;60;0,4990;479;2;1;1;1;0;0;0
32,5000;31200;66;1;0;80;0,2490;239;1;0;0;0;0;0;0
32,7500;31440;66;1;240;67;0,2490;239;1;0;0;0;0;0;0
33,0000;31680;67;1;0;60;0,4990;479;2;1;0;1;0;0;0
33,5000;32160;68;1;0;79;0,4990;479;2;0;0;0;0;0;0
34,0000;32640;69;1;0;79;0,9990;959;4;1;1;1;1;1;0
35,0000;33600;71;1;0;60;0,4990;479;2;0;0;0;0;0;0
35,5000;34080;72;1;0;76;0,2490;239;1;0;0;0;0;0;0
35,7500;34320;72;1;240;67;0,2490;239;1;0;0;0;0;0;0
36,0000;34560;73;1;0;60;0,4990;479;2;1;0;1;0;0;0
36,5000;35040;74;1;0;72;0,4990;479;2;0;0;0;0;0;0
37,0000;35520;75;1;0;72;0,9990;959;4;1;1;1;1;1;0
38,0000;36480;77;1;0;69;0,4990;479;2;0;0;0;0;0;0
38,5000;36960;78;1;0;69;0,4990;479;2;0;0;1;0;0;0
39,0000;37440;79;1;0;76;0,4990;479;2;1;0;0;0;0;0
39,5000;37920;80;1;0;74;0,2490;239;1;0;0;0;0;0;0
39,7500;38160;80;1;240;72;0,2490;239;1;0;0;0;0;0;0
40,0000;38400;81;1;0;60;0,4990;479;2;0;0;1;0;0;0
40,5000;38880;82;1;0;72;0,4990;479;2;0;0;0;0;0;0
41,0000;39360;83;1;0;72;0,9990;959;4;1;1;1;1;1;0
42,0000;40320;85;1;0;60;0,4990;479;2;0;0;0;0;0;0
42,5000;40800;86;1;0;74;0,2490;239;1;0;0;0;0;0;0
42,7500;41040;86;1;240;76;0,2490;239;1;0;0;0;0;0;0
43,0000;41280;87;1;0;60;0,4990;479;2;1;0;1;0;0;0
43,5000;41760;88;1;0;76;0,2490;239;1;0;0;0;0;0;0
43,7500;42000;88;1;240;79;0,2490;239;1;0;0;0;0;0;0
44,0000;42240;89;1;0;60;0,4990;479;2;0;0;1;0;0;0
44,5000;42720;90;1;0;79;0,4990;479;2;0;0;0;0;0;0
45,0000;43200;91;1;0;79;0,9990;959;4;1;1;1;1;1;0
46,0000;44160;93;1;0;60;0,4990;479;2;0;0;0;0;0;0
46,5000;44640;94;1;0;79;0,2490;239;1;0;0;0;0;0;0
46,7500;44880;94;1;240;81;0,2490;239;1;0;0;0;0;0;0
47,0000;45120;95;1;0;60;0,4990;479;2;1;1;1;0;0;0
47,5000;45600;96;1;0;81;0,2490;239;1;0;0;0;0;0;0
47,7500;45840;96;1;240;84;0,2490;239;1;0;0;0;0;0;0
48,0000;46080;97;1;0;60;0,4990;479;2;0;0;1;0;0;0
48,5000;46560;98;1;0;84;0,4990;479;2;0;0;0;0;0;0
49,0000;47040;99;1;0;84;0,9990;959;4;1;1;1;1;1;0
50,0000;48000;101;1;0;64;0,4990;479;2;0;0;0;0;0;0
50,5000;48480;102;1;0;76;0,2490;239;1;0;0;0;0;0;0
50,7500;48720;102;1;240;69;0,2490;239;1;0;0;0;0;0;0
51,0000;48960;103;1;0;62;0,4990;479;2;1;1;1;0;0;0
51,5000;49440;104;1;0;74;0,2490;239;1;0;0;0;0;0;0
51,7500;49680;104;1;240;67;0,2490;239;1;0;0;0;0;0;0
52,0000;49920;105;1;0;60;0,4990;479;2;1;0;1;0;0;0
52,5000;50400;106;1;0;72;0,4990;479;2;0;0;0;0;0;0
53,0000;50880;107;1;0;72;0,9990;959;4;1;0;1;1;1;0
54,0000;51840;109;1;0;64;0,4990;479;2;0;0;0;0;0;0
54,5000;52320;110;1;0;76;0,2490;239;1;0;0;0;0;0;0
54,7500;52560;110;1;240;69;0,2490;239;1;0;0;0;0;0;0
55,0000;52800;111;1;0;62;0,4990;479;2;1;1;1;0;0;0
55,5000;53280;112;1;0;74;0,2490;239;1;0;0;0;0;0;0
55,7500;53520;112;1;240;67;0,2490;239;1;0;0;0;0;0;0
56,0000;53760;113;1;0;60;0,4990;479;2;1;0;1;1;0;0
56,5000;54240;114;1;0;72;0,4990;479;2;0;0;0;0;0;0
57,0000;54720;115;1;0;72;0,4990;479;2;1;1;1;0;1;0
57,5000;55200;116;1;0;76;0,2490;239;1;0;0;0;0;0;0
57,7500;55440;116;1;240;74;0,2490;239;1;0;0;1;1;0;0
58,0000;55680;117;1;0;57;0,2490;239;1;0;0;0;0;0;0
58,2500;55920;117;1;240;60;0,2490;239;1;0;0;0;0;0;0
58,5000;56160;118;1;0;60;0,4990;479;2;1;0;1;0;0;0
59,0000;56640;119;1;0;64;0,4990;479;2;0;0;0;0;0;0
59,5000;57120;120;1;0;64;0,4990;479;2;1;0;1;0;0;0
60,0000;57600;121;1;0;62;0,2490;239;1;0;0;0;0;0;0
60,2500;57840;121;1;240;65;0,2490;239;1;0;0;0;0;0;0
60,5000;58080;122;1;0;67;0,4990;479;2;0;0;0;0;0;0
61,0000;58560;123;1;0;67;0,9990;959;4;1;1;1;1;1;0
62,0000;59520;125;1;0;57;0,2490;239;1;0;0;0;0;0;0
62,2500;59760;125;1;240;60;0,2490;239;1;0;0;0;0;0;0
62,5000;60000;126;1;0;60;0,4990;479;2;1;0;1;0;0;0
63,0000;60480;127;1;0;64;0,4990;479;2;0;0;0;0;0;0
63,5000;60960;128;1;0;64;0,4990;479;2;1;0;1;0;0;0
64,0000;61440;129;1;0;62;0,2490;239;1;0;0;0;0;0;0
64,2500;61680;129;1;240;65;0,2490;239;1;0;0;0;0;0;0
64,5000;61920;130;1;0;67;0,4990;479;2;0;0;0;0;0;0
65,0000;62400;131;1;0;67;0,9990;959;4;1;1;1;1;1;0
66,0000;63360;133;1;0;69;0,4990;479;2;0;0;0;0;0;0
66,5000;63840;134;1;0;69;0,4990;479;2;0;0;1;0;0;0
67,0000;64320;135;1;0;76;0,4990;479;2;1;0;0;0;0;0
67,5000;64800;136;1;0;74;0,2490;239;1;0;0;0;0;0;0
67,7500;65040;136;1;240;72;0,2490;239;1;0;0;0;0;0;0
68,0000;65280;137;1;0;60;0,4990;479;2;0;0;1;0;0;0
68,5000;65760;138;1;0;72;0,4990;479;2;0;0;0;0;0;0
69,0000;66240;139;1;0;72;0,9990;959;4;1;1;1;1;1;0
70,0000;67200;141;1;0;69;0,4990;479;2;0;0;0;0;0;0
70,5000;67680;142;1;0;69;0,4990;479;2;0;0;1;0;0;0
71,0000;68160;143;1;0;76;0,4990;479;2;1;0;0;0;0;0
71,5000;68640;144;1;0;74;0,2490;239;1;0;0;0;0;0;0
