Signature: 6/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,9990;959;4;0;0;1;0;0;0
1,0000;960;1;3;0;70;0,4990;479;2;0;0;0;0;0;0
1,5000;1440;1;4;0;69;0,9990;959;4;1;1;0;0;0;0
2,5000;2400;1;6;0;67;0,4990;479;2;0;0;1;0;0;0
3,0000;2880;2;1;0;69;0,9990;959;4;1;1;0;0;0;0
4,0000;3840;2;3;0;69;0,4990;479;2;0;0;1;0;0;0
4,5000;4320;2;4;0;74;0,9990;959;4;1;0;0;0;0;0
5,5000;5280;2;6;0;74;0,4990;479;2;0;0;1;1;0;0
6,0000;5760;3;1;0;67;0,9990;959;4;1;0;0;0;0;0
7,0000;6720;3;3;0;69;0,4990;479;2;0;0;0;0;0;0
7,5000;7200;3;4;0;70;0,9990;959;4;1;1;1;0;0;0
8,5000;8160;3;6;0;67;0,4990;479;2;0;0;0;0;0;0
9,0000;8640;4;1;0;65;1,4990;1439;6;1;1;1;1;1;0
12,0000;11520;5;1;0;69;0,9990;959;4;0;0;0;0;0;0
13,0000;12480;5;3;0;69;0,4990;479;2;0;0;1;0;0;0
13,5000;12960;5;4;0;72;0,9990;959;4;1;0;0;0;0;0
14,5000;13920;5;6;0;72;0,4990;479;2;0;0;1;1;0;0
15,0000;14400;6;1;0;67;0,9990;959;4;1;1;0;0;0;0
16,0000;15360;6;3;0;67;0,4990;479;2;0;0;1;0;0;0
16,5000;15840;6;4;0;70;0,9990;959;4;1;0;0;0;0;0
17,5000;16800;6;6;0;69;0,4990;479;2;0;0;0;0;0;0
18,0000;17280;7;1;0;67;0,9990;959;4;1;1;1;0;0;0
19,0000;18240;7;3;0;64;0,4990;479;2;0;0;0;0;0;0
19,5000;18720;7;4;0;62;0,9990;959;4;1;1;1;1;0;0
20,5000;19680;7;6;0;65;0,4990;479;2;0;0;0;0;0;0
21,0000;20160;8;1;0;67;1,4990;1439;6;1;1;1;1;1;1
