Signature: 5/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;55;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;55;0,2490;239;2;0;0;0;0;0;0
0,5000;480;1;2;0;55;0,2490;239;2;1;0;1;1;0;0
0,7500;720;1;2;240;60;0,4990;479;4;0;0;0;0;0;0
1,2500;1200;1;3;240;60;0,4990;479;4;0;0;1;0;0;0
1,7500;1680;1;4;240;62;0,4990;479;4;0;0;0;0;0;0
2,2500;2160;1;5;240;62;0,4990;479;4;0;0;1;1;0;0
2,7500;2640;2;1;240;67;0,7490;719;6;1;1;0;0;1;0
3,5000;3360;2;3;0;64;0,2490;239;2;0;0;1;0;0;0
3,7500;3600;2;3;240;60;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;2;4;0;60;0,2490;239;2;0;0;1;0;0;0
4,2500;4080;2;4;240;64;0,2490;239;2;1;0;0;0;0;0
4,5000;4320;2;5;0;60;0,1240;119;1;0;0;0;0;0;0
4,6250;4440;2;5;120;59;0,1240;119;1;0;0;0;0;0;0
4,7500;4560;2;5;240;57;0,4990;479;4;0;1;1;1;0;0
5,2500;5040;3;1;240;65;0,7490;719;6;0;1;0;0;0;0
6,0000;5760;3;3;0;65;0,2490;239;2;0;0;1;0;0;0
6,2500;6000;3;3;240;62;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;3;4;0;59;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;3;4;240;60;0,9990;959;8;1;1;1;1;1;0
8,2500;7920;4;2;240;60;0,3740;359;3;0;0;0;0;0;0
8,6250;8280;4;3;120;62;0,1240;119;1;0;0;0;0;0;0
8,7500;8400;4;3;240;64;0,4990;479;4;0;0;0;0;0;0
9,2500;8880;4;4;240;64;0,4990;479;4;0;0;0;0;0;0
9,7500;9360;4;5;240;64;0,4990;479;4;1;0;1;0;0;0
10,2500;9840;5;1;240;65;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;5;2;0;64;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;5;2;240;64;0,2490;239;2;0;0;1;0;0;0
11,0000;10560;5;3;0;62;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;5;3;240;62;0,4990;479;4;0;0;1;1;1;0
12,2500;11760;5;5;240;62;0,3740;359;3;1;1;0;0;0;0
12,6250;12120;6;1;120;64;0,1240;119;1;0;0;0;0;0;0
12,7500;12240;6;1;240;65;0,4990;479;4;0;0;0;0;0;0
13,2500;12720;6;2;240;65;0,4990;479;4;0;0;0;0;0;0
13,7500;13200;6;3;240;65;0,4990;479;4;0;0;1;0;0;0
14,2500;13680;6;4;240;67;0,3740;359;3;1;0;0;0;0;0
14,6250;14040;6;5;120;65;0,1240;119;1;0;0;0;0;0;0
14,7500;14160;6;5;240;64;0,9990;959;8;1;1;1;1;1;0
16,2500;15600;7;3;240;67;0,3740;359;3;0;0;0;0;0;0
16,6250;15960;7;4;120;67;0,1240;119;1;0;0;0;0;0;0
16,7500;16080;7;4;240;67;0,4990;479;4;1;0;1;0;0;0
17,2500;16560;7;5;240;64;0,2490;239;2;0;0;0;0;0;0
17,5000;16800;8;1;0;60;0,2490;239;2;0;0;1;0;0;0
17,7500;17040;8;1;240;67;0,4990;479;4;0;0;0;0;0;0
18,2500;17520;8;2;240;64;0,3740;359;3;0;0;0;0;0;0
18,6250;17880;8;3;120;60;0,1240;119;1;0;0;0;0;0;0
18,7500;18000;8;3;240;55;0,9990;959;8;1;0;1;1;1;0
20,0000;19200;9;1;0;55;0,2490;239;2;0;0;0;0;0;0
20,2500;19440;9;1;240;55;0,2490;239;2;0;0;0;0;0;0
20,5000;19680;9;2;0;55;0,2490;239;2;0;0;1;0;0;0
20,7500;19920;9;2;240;62;0,7490;719;6;1;0;0;0;0;0
21,5000;20640;9;4;0;64;0,2490;239;2;0;0;0;0;0;0
21,7500;20880;9;4;240;65;0,7490;719;6;1;1;1;0;0;0
22,5000;21600;10;1;0;62;0,2490;239;2;0;0;0;0;0;0
22,7500;21840;10;1;240;60;0,4990;479;4;0;0;0;0;0;0
23,2500;22320;10;2;240;60;0,4990;479;4;0;0;0;0;0;0
23,7500;22800;10;3;240;58;0,9990;959;8;1;0;0;0;1;0
24,7500;23760;10;5;240;57;0,4990;479;4;0;0;1;0;0;0
25,2500;24240;11;1;240;60;0,3740;359;3;0;0;0;0;0;0
25,6250;24600;11;2;120;60;0,1240;119;1;0;0;0;0;0;0
25,7500;24720;11;2;240;60;0,4990;479;4;1;1;1;0;0;0
26,2500;25200;11;3;240;59;0,2490;239;2;0;0;0;0;0;0
26,5000;25440;11;4;0;60;0,2490;239;2;0;0;0;0;0;0
26,7500;25680;11;4;240;62;0,9990;959;8;1;0;1;1;1;0
28,2500;27120;12;2;240;62;0,3740;359;3;0;0;0;0;0;0
28,6250;27480;12;3;120;62;0,1240;119;1;1;0;1;0;0;0
28,7500;27600;12;3;240;63;0,4990;479;4;0;0;0;0;0;0
29,2500;28080;12;4;240;63;0,3740;359;3;0;0;0;0;0;0
29,6250;28440;12;5;120;63;0,1240;119;1;0;0;0;0;0;0
29,7500;28560;12;5;240;62;0,3740;359;3;1;0;1;0;0;0
30,1250;28920;13;1;120;63;0,1240;119;1;0;0;0;0;0;0
30,2500;29040;13;1;240;65;0,3740;359;3;1;1;1;0;0;0
30,6250;29400;13;2;120;63;0,1240;119;1;0;0;0;0;0;0
30,7500;29520;13;2;240;62;0,9990;959;8;1;0;1;1;1;0
32,2500;30960;13;5;240;63;0,2490;239;2;0;0;0;0;0;0
32,5000;31200;14;1;0;62;0,2490;239;2;1;0;1;0;0;0
32,7500;31440;14;1;240;60;0,4990;479;4;0;0;0;0;0;0
