Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;79;0,2490;239;2;1;0;0;0;0;0
0,2500;240;1;1;240;79;0,1240;119;1;0;0;1;0;0;0
0,3750;360;1;1;360;77;0,1240;119;1;0;0;0;0;0;0
0,5000;480;1;2;0;79;0,2490;239;2;1;0;1;0;0;0
0,7500;720;1;2;240;86;0,1240;119;1;0;0;0;0;0;0
0,8750;840;1;2;360;84;0,1240;119;1;0;0;0;0;0;0
1,0000;960;2;1;0;82;0,9990;959;8;1;1;1;1;1;1
2,0000;1920;3;1;0;79;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;3;1;240;79;0,1240;119;1;0;0;0;0;0;0
2,3750;2280;3;1;360;77;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;3;2;0;79;0,2490;239;2;1;0;1;0;0;0
2,7500;2640;3;2;240;86;0,1240;119;1;0;0;0;0;0;0
2,8750;2760;3;2;360;84;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;82;0,9990;959;8;1;1;1;1;1;1
4,0000;3840;5;1;0;77;0,3740;359;3;0;0;0;0;0;0
4,3750;4200;5;1;360;82;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;5;2;0;79;0,2490;239;2;0;0;1;0;0;0
4,7500;4560;5;2;240;87;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;6;1;0;86;0,2490;239;2;1;0;1;0;0;0
5,2500;5040;6;1;240;84;0,1240;119;1;0;0;0;0;0;0
5,3750;5160;6;1;360;82;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;6;2;0;77;0,4990;479;4;1;1;1;0;1;1
6,0000;5760;7;1;0;86;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;7;1;240;77;0,2490;239;2;1;0;0;0;0;0
6,5000;6240;7;2;0;79;0,1240;119;1;0;0;0;0;0;0
6,6250;6360;7;2;120;77;0,1240;119;1;1;0;0;0;0;0
6,7500;6480;7;2;240;74;0,1240;119;1;0;0;0;0;0;0
6,8750;6600;7;2;360;72;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;8;1;0;70;0,9990;959;8;1;1;1;1;1;1
8,0000;7680;9;1;0;86;0,9990;959;8;0;0;0;0;0;1
9,0000;8640;10;1;0;86;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;10;1;240;86;0,1240;119;1;0;0;0;0;0;0
9,3750;9000;10;1;360;84;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;10;2;0;82;0,4990;479;4;1;1;1;0;0;1
10,0000;9600;11;1;0;86;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;11;1;240;86;0,1240;119;1;0;0;0;0;0;0
10,3750;9960;11;1;360;86;0,1240;119;1;1;0;1;0;0;0
10,5000;10080;11;2;0;84;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;11;2;240;82;0,2490;239;2;0;0;0;0;1;0
11,0000;10560;12;1;0;84;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;12;1;240;86;0,2490;239;2;1;1;1;0;0;0
11,5000;11040;12;2;0;81;0,1240;119;1;0;0;0;0;0;0
11,6250;11160;12;2;120;79;0,1240;119;1;0;0;0;0;0;0
11,7500;11280;12;2;240;77;0,1240;119;1;0;0;0;0;0;0
11,8750;11400;12;2;360;79;0,1240;119;1;1;0;0;0;0;0
12,0000;11520;13;1;0;82;0,4990;479;4;0;0;0;0;0;1
12,5000;12000;13;2;0;82;0,4990;479;4;1;0;1;0;1;1
13,0000;12480;14;1;0;81;0,1240;119;1;0;0;0;0;0;0
13,1250;12600;14;1;120;79;0,1240;119;1;0;0;0;0;0;0
13,2500;12720;14;1;240;77;0,1240;119;1;0;0;0;0;0;0
13,3750;12840;14;1;360;79;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;14;2;0;84;0,4990;479;4;1;1;1;1;1;1
14,0000;13440;15;1;0;84;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;15;1;240;86;0,1240;119;1;0;0;0;0;0;0
14,3750;13800;15;1;360;84;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;15;2;0;82;0,2490;239;2;1;0;1;0;0;0
14,7500;14160;15;2;240;84;0,1240;119;1;0;0;0;0;0;0
14,8750;14280;15;2;360;82;0,1240;119;1;1;1;0;0;0;0
15,0000;14400;16;1;0;79;0,2490;239;2;0;0;1;0;0;0
15,2500;14640;16;1;240;77;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;16;2;0;74;0,2490;239;2;1;0;1;0;0;0
15,7500;15120;16;2;240;72;0,1240;119;1;0;0;0;0;0;0
15,8750;15240;16;2;360;74;0,1240;119;1;1;0;0;0;0;0
16,0000;15360;17;1;0;77;0,4990;479;4;0;0;0;0;0;1
16,5000;15840;17;2;0;77;0,4990;479;4;1;0;1;1;1;1
17,0000;16320;18;1;0;86;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;18;1;240;86;0,1240;119;1;0;0;0;0;0;0
17,3750;16680;18;1;360;84;0,1240;119;1;0;0;0;0;0;0
17,5000;16800;18;2;0;82;0,4990;479;4;1;1;1;0;1;1
18,0000;17280;19;1;0;86;0,2490;239;2;0;0;0;0;0;0
