Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;74;0,3740;359;3;1;0;1;1;0;0
0,3750;360;1;1;360;76;0,1240;119;1;0;0;0;0;0;0
0,5000;480;1;2;0;74;0,1240;119;1;0;0;0;0;0;0
0,6250;600;1;2;120;76;0,1240;119;1;0;0;0;0;0;0
0,7500;720;1;2;240;74;0,2490;239;2;1;0;1;0;0;0
1,0000;960;2;1;0;74;0,1240;119;1;0;0;0;0;0;0
1,1250;1080;2;1;120;76;0,1240;119;1;0;0;0;0;0;0
1,2500;1200;2;1;240;69;0,4990;479;4;1;1;1;1;1;1
1,7500;1680;2;2;240;74;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;3;1;0;74;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;3;1;240;74;0,1240;119;1;0;0;1;0;0;0
2,3750;2280;3;1;360;78;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;3;2;0;76;0,4990;479;4;1;1;1;1;0;1
3,0000;2880;4;1;0;74;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;4;1;240;66;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;4;2;0;69;0,2490;239;2;1;0;0;0;0;0
3,7500;3600;4;2;240;69;0,1240;119;1;0;0;0;0;0;0
3,8750;3720;4;2;360;66;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;5;1;0;69;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;5;1;240;69;0,4990;479;4;1;1;1;1;1;1
4,7500;4560;5;2;240;64;0,1240;119;1;0;0;0;0;0;0
4,8750;4680;5;2;360;66;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;6;1;0;69;0,1240;119;1;0;0;0;0;0;0
5,1250;4920;6;1;120;71;0,1240;119;1;1;0;1;0;0;0
5,2500;5040;6;1;240;64;0,1240;119;1;0;0;0;0;0;0
5,3750;5160;6;1;360;66;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;6;2;0;69;0,4990;479;4;0;0;0;0;1;1
6,0000;5760;7;1;0;69;0,3740;359;3;1;1;1;1;0;0
6,3750;6120;7;1;360;74;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;7;2;0;74;0,1240;119;1;0;0;0;0;0;0
6,6250;6360;7;2;120;76;0,1240;119;1;1;0;1;0;0;0
6,7500;6480;7;2;240;66;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;8;1;0;69;0,2490;239;2;1;0;0;0;0;0
7,2500;6960;8;1;240;69;0,1240;119;1;0;0;0;0;0;0
7,3750;7080;8;1;360;74;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;8;2;0;69;0,2490;239;2;1;1;0;0;0;0
7,7500;7440;8;2;240;69;0,1240;119;1;0;0;0;0;0;0
7,8750;7560;8;2;360;66;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;9;1;0;69;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;9;1;240;66;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;9;2;0;69;0,4990;479;4;0;0;0;0;1;1
9,0000;8640;10;1;0;74;0,4990;479;4;1;0;1;0;0;1
9,5000;9120;10;2;0;66;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;10;2;240;69;0,4990;479;4;1;1;1;0;0;1
10,2500;9840;11;1;240;66;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;11;2;0;66;0,1240;119;1;0;0;0;0;0;0
10,6250;10200;11;2;120;64;0,1240;119;1;0;0;0;0;0;0
10,7500;10320;11;2;240;62;0,1240;119;1;0;0;0;0;0;0
10,8750;10440;11;2;360;66;0,1240;119;1;0;0;0;0;0;0
11,0000;10560;12;1;0;64;0,4990;479;4;1;1;1;1;1;1
11,5000;11040;12;2;0;74;0,3740;359;3;0;0;0;0;0;0
11,8750;11400;12;2;360;76;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;13;1;0;74;0,1240;119;1;0;0;0;0;0;0
12,1250;11640;13;1;120;76;0,1240;119;1;0;0;0;0;0;0
12,2500;11760;13;1;240;74;0,2490;239;2;1;0;1;0;0;0
12,5000;12000;13;2;0;74;0,1240;119;1;0;0;0;0;0;0
12,6250;12120;13;2;120;76;0,1240;119;1;0;0;0;0;0;0
12,7500;12240;13;2;240;69;0,4990;479;4;1;1;1;1;1;1
13,2500;12720;14;1;240;74;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;14;2;0;74;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;14;2;240;74;0,1240;119;1;0;0;1;0;0;0
13,8750;13320;14;2;360;78;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;15;1;0;76;0,4990;479;4;1;1;1;1;0;1
14,5000;13920;15;2;0;74;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;15;2;240;66;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;16;1;0;69;0,2490;239;2;1;0;0;0;0;0
15,2500;14640;16;1;240;69;0,1240;119;1;0;0;0;0;0;0
15,3750;14760;16;1;360;66;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;16;2;0;69;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;16;2;240;69;0,4990;479;4;1;1;1;1;1;1
16,2500;15600;17;1;240;66;0,2490;239;2;0;0;0;0;0;0
