Signature: 19/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,2490;239;6;0;0;1;0;0;0
0,2500;240;1;1;240;71;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;72;0,2490;239;6;0;0;0;0;0;0
0,7500;720;1;2;240;74;0,7490;719;18;1;1;1;0;0;1
1,5000;1440;1;4;0;74;0,2490;239;6;0;0;0;0;0;0
1,7500;1680;1;4;240;75;0,1656;159;4;0;0;0;0;0;0
1,9167;1840;1;4;400;77;0,1656;159;4;0;0;0;0;0;0
2,0833;2000;1;5;80;75;0,1656;159;4;0;0;0;0;0;0
2,2500;2160;1;5;240;74;0,7490;719;18;1;1;1;0;0;1
3,0000;2880;1;7;0;72;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;1;7;240;71;0,9990;959;24;0;0;0;0;1;1
4,2500;4080;1;9;240;71;0,4990;479;12;0;1;1;1;0;0
4,7500;4560;1;10;240;75;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;1;11;0;75;0,4990;479;12;0;0;1;0;0;0
5,5000;5280;1;12;0;74;0,4990;479;12;0;0;0;0;0;0
6,0000;5760;1;13;0;71;0,4990;479;12;0;0;0;0;0;0
6,5000;6240;1;14;0;67;0,4990;479;12;1;0;1;1;0;0
7,0000;6720;1;15;0;72;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;1;15;160;74;0,1656;159;4;0;0;0;0;0;0
7,3333;7040;1;15;320;72;0,1656;159;4;0;0;0;0;0;0
7,5000;7200;1;16;0;70;0,3740;359;9;1;1;1;0;0;0
7,8750;7560;1;16;360;68;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;1;17;0;67;0,4990;479;12;0;0;1;0;0;0
8,5000;8160;1;18;0;67;0,9990;959;24;1;1;1;1;1;1
