Signature: 1/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,4990;479;2;0;0;1;0;0;0
0,5000;480;2;1;0;67;0,4990;479;2;0;0;0;0;0;0
1,0000;960;3;1;0;69;0,4990;479;2;0;0;0;0;0;0
1,5000;1440;4;1;0;70;0,9990;959;4;0;0;0;0;0;1
2,5000;2400;6;1;0;69;0,9990;959;4;1;0;1;0;0;1
3,5000;3360;8;1;0;74;0,4990;479;2;0;0;0;0;0;0
4,0000;3840;9;1;0;72;0,2490;239;1;0;0;0;0;0;0
4,2500;4080;9;1;240;70;0,2490;239;1;0;0;0;0;0;0
4,5000;4320;10;1;0;69;0,9990;959;4;1;1;1;1;1;1
6,0000;5760;13;1;0;62;0,4990;479;2;0;0;0;0;0;0
6,5000;6240;14;1;0;67;0,4990;479;2;0;0;0;0;0;0
7,0000;6720;15;1;0;69;0,4990;479;2;0;0;0;0;0;0
7,5000;7200;16;1;0;70;0,7490;719;3;1;0;0;0;0;0
8,2500;7920;17;1;240;69;0,2490;239;1;0;0;1;0;0;0
8,5000;8160;18;1;0;67;0,4990;479;2;1;0;0;0;0;0
9,0000;8640;19;1;0;66;0,2490;239;1;0;0;0;0;0;0
9,2500;8880;19;1;240;67;0,2490;239;1;0;0;0;0;0;0
9,5000;9120;20;1;0;69;0,2490;239;1;0;0;1;0;0;0
9,7500;9360;20;1;240;66;0,2490;239;1;0;0;0;0;0;0
10,0000;9600;21;1;0;67;1,4990;1439;6;1;1;1;1;1;1
12,0000;11520;25;1;0;62;0,4990;479;2;0;0;0;0;0;0
12,5000;12000;26;1;0;67;0,4990;479;2;0;0;0;0;0;0
13,0000;12480;27;1;0;69;0,4990;479;2;0;0;0;0;0;0
13,5000;12960;28;1;0;70;0,7490;719;3;1;0;0;0;0;0
14,2500;13680;29;1;240;69;0,2490;239;1;0;0;1;0;0;0
14,5000;13920;30;1;0;67;0,4990;479;2;1;1;0;0;0;0
15,0000;14400;31;1;0;66;0,2490;239;1;0;0;0;0;0;0
15,2500;14640;31;1;240;67;0,2490;239;1;0;0;0;0;0;0
15,5000;14880;32;1;0;69;0,2490;239;1;1;0;1;1;0;0
15,7500;15120;32;1;240;66;0,2490;239;1;0;0;0;0;0;0
16,0000;15360;33;1;0;67;1,4990;1439;6;1;1;1;1;1;1
