Signature: 3/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;62;0,3740;359;3;1;1;0;0;0;0
0,6250;600;1;2;120;62;0,1240;119;1;0;0;1;1;0;0
0,7500;720;1;2;240;67;0,4990;479;4;0;0;0;0;0;0
1,2500;1200;1;3;240;67;0,4990;479;4;0;0;0;0;0;0
1,7500;1680;2;1;240;66;0,3740;359;3;0;0;1;0;0;0
2,1250;2040;2;2;120;67;0,1240;119;1;1;0;0;0;0;0
2,2500;2160;2;2;240;69;0,4990;479;4;0;0;1;1;0;0
2,7500;2640;2;3;240;62;0,4990;479;4;0;0;0;0;0;0
3,2500;3120;3;1;240;64;0,3740;359;3;1;0;1;0;0;0
3,6250;3480;3;2;120;62;0,1240;119;1;0;0;0;0;0;0
3,7500;3600;3;2;240;62;0,9990;959;8;1;1;0;0;1;0
4,7500;4560;4;1;240;62;0,4990;479;4;0;0;1;1;0;0
5,2500;5040;4;2;240;72;0,4990;479;4;1;0;0;0;0;0
5,7500;5520;4;3;240;72;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;5;1;0;72;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;5;1;240;69;0,3740;359;3;1;1;1;0;0;0
6,6250;6360;5;2;120;72;0,1240;119;1;0;0;0;0;0;0
6,7500;6480;5;2;240;71;0,4990;479;4;0;0;1;0;0;0
7,2500;6960;5;3;240;71;0,4990;479;4;0;0;0;0;1;0
7,7500;7440;6;1;240;67;0,3740;359;3;0;0;1;1;0;0
8,1250;7800;6;2;120;71;0,1240;119;1;0;1;0;0;0;0
8,2500;7920;6;2;240;69;0,4990;479;4;0;0;1;0;0;0
8,7500;8400;6;3;240;69;0,4990;479;4;1;0;0;0;0;0
9,2500;8880;7;1;240;67;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;7;2;0;69;0,2490;239;2;0;0;1;0;0;0
9,7500;9360;7;2;240;71;0,4990;479;4;0;0;0;0;0;0
10,2500;9840;7;3;240;71;0,4990;479;4;0;0;1;1;0;0
10,7500;10320;8;1;240;69;0,3740;359;3;1;1;0;0;0;0
11,1250;10680;8;2;120;69;0,1240;119;1;0;0;0;0;0;0
11,2500;10800;8;2;240;67;0,4990;479;4;1;1;1;1;1;1
