Signature: 11/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,2490;239;1;0;0;1;0;0;0
0,2500;240;1;1;240;66;0,2490;239;1;1;0;0;0;0;0
0,5000;480;1;2;0;67;0,4990;479;2;0;0;0;0;0;0
1,0000;960;1;3;0;67;0,4990;479;2;1;1;1;0;0;0
1,5000;1440;1;4;0;66;0,2490;239;1;0;0;0;0;0;0
1,7500;1680;1;4;240;64;0,2490;239;1;0;0;1;0;0;0
2,0000;1920;1;5;0;62;0,4990;479;2;0;0;0;0;1;0
2,5000;2400;1;6;0;62;0,4990;479;2;1;1;1;1;0;0
3,0000;2880;1;7;0;67;0,2490;239;1;0;0;0;0;0;0
3,2500;3120;1;7;240;69;0,2490;239;1;0;0;0;0;0;0
3,5000;3360;1;8;0;71;0,4990;479;2;0;0;1;0;0;0
4,0000;3840;1;9;0;67;0,4990;479;2;0;0;0;0;0;0
4,5000;4320;1;10;0;69;0,2490;239;1;0;0;1;0;0;0
4,7500;4560;1;10;240;66;0,2490;239;1;0;0;0;0;0;0
5,0000;4800;1;11;0;67;0,9990;959;4;1;1;1;1;1;0
6,0000;5760;2;2;0;71;0,4990;479;2;0;0;0;0;0;0
6,5000;6240;2;3;0;69;0,4990;479;2;0;0;0;0;0;0
7,0000;6720;2;4;0;69;0,4990;479;2;1;0;1;0;0;0
7,5000;7200;2;5;0;71;0,2490;239;1;0;0;0;0;0;0
7,7500;7440;2;5;240;69;0,2490;239;1;0;0;0;0;0;0
8,0000;7680;2;6;0;67;0,4990;479;2;1;1;1;0;0;0
8,5000;8160;2;7;0;64;0,4990;479;2;0;0;0;0;0;0
9,0000;8640;2;8;0;66;0,4990;479;2;0;0;0;0;0;0
9,5000;9120;2;9;0;67;0,4990;479;2;1;0;1;0;0;0
10,0000;9600;2;10;0;64;0,4990;479;2;0;0;0;0;0;0
10,5000;10080;2;11;0;66;0,4990;479;2;0;0;0;0;0;0
11,0000;10560;3;1;0;64;0,9990;959;4;1;1;1;1;1;1
