Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,2500;240;1;1;240;60;0,2490;239;1;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,2490;239;1;0;0;0;0;0;0
0,7500;720;1;2;240;60;0,2490;239;1;0;0;0;0;0;0
1,0000;960;1;3;0;65;0,2490;239;1;0;1;0;0;1;0
1,7500;1680;1;4;240;69;0,2490;239;1;0;1;1;0;0;0
2,2500;2160;2;1;240;60;0,2490;239;1;0;0;0;0;0;0
2,5000;2400;2;2;0;60;0,2490;239;1;0;0;0;0;0;0
2,7500;2640;2;2;240;60;0,2490;239;1;0;0;0;0;0;0
3,0000;2880;2;3;0;65;0,2490;239;1;0;0;0;0;0;0
3,7500;3600;2;4;240;69;0,2490;239;1;1;1;1;1;1;0
5,2500;5040;3;3;240;65;0,4990;479;2;0;0;0;0;0;0
5,7500;5520;3;4;240;65;0,2490;239;1;0;0;0;0;0;0
6,0000;5760;4;1;0;64;0,2490;239;1;0;0;0;0;0;0
6,2500;6000;4;1;240;64;0,2490;239;1;1;0;1;0;0;0
6,5000;6240;4;2;0;62;0,2490;239;1;0;0;0;0;0;0
6,7500;6480;4;2;240;62;0,2490;239;1;0;0;0;0;0;0
7,0000;6720;4;3;0;60;0,9990;959;4;1;0;1;1;1;1
8,2500;7920;5;1;240;60;0,2490;239;1;0;0;0;0;0;0
8,5000;8160;5;2;0;60;0,2490;239;1;0;0;0;0;0;0
8,7500;8400;5;2;240;60;0,2490;239;1;0;0;0;0;0;0
9,0000;8640;5;3;0;64;0,2490;239;1;0;1;0;0;0;0
9,7500;9360;5;4;240;67;0,2490;239;1;0;0;1;0;0;0
10,2500;9840;6;1;240;60;0,2490;239;1;0;0;0;0;0;0
10,5000;10080;6;2;0;60;0,2490;239;1;0;0;0;0;0;0
10,7500;10320;6;2;240;60;0,2490;239;1;0;0;0;0;0;0
11,0000;10560;6;3;0;64;0,2490;239;1;0;0;0;0;0;0
11,7500;11280;6;4;240;67;0,2490;239;1;1;1;1;1;1;0
13,2500;12720;7;3;240;72;0,4990;479;2;0;0;0;0;0;0
13,7500;13200;7;4;240;74;0,2490;239;1;0;0;0;0;0;0
14,0000;13440;8;1;0;72;0,2490;239;1;0;0;0;0;0;0
14,2500;13680;8;1;240;70;0,2490;239;1;0;0;0;0;0;0
14,5000;13920;8;2;0;69;0,2490;239;1;0;0;0;0;0;0
14,7500;14160;8;2;240;67;0,2490;239;1;0;0;0;0;0;0
15,0000;14400;8;3;0;69;0,7490;719;3;0;0;0;0;0;0
15,7500;15120;8;4;240;65;0,2490;239;1;1;1;1;1;1;0
17,2500;16560;9;3;240;60;0,4990;479;2;0;0;0;0;0;0
17,7500;17040;9;4;240;60;0,2490;239;1;0;0;1;0;0;0
18,0000;17280;10;1;0;65;0,2490;239;1;0;0;0;0;0;0
18,2500;17520;10;1;240;65;0,2490;239;1;1;0;1;0;0;0
18,5000;17760;10;2;0;69;0,2490;239;1;0;0;0;0;0;0
18,7500;18000;10;2;240;69;0,2490;239;1;0;0;0;0;0;0
19,0000;18240;10;3;0;72;0,7490;719;3;0;0;0;0;0;0
19,7500;18960;10;4;240;69;1,2490;1199;5;1;1;1;1;1;1
21,2500;20400;11;3;240;72;0,4990;479;2;0;0;0;0;0;0
21,7500;20880;11;4;240;74;0,2490;239;1;0;0;0;0;0;0
22,0000;21120;12;1;0;72;0,2490;239;1;0;0;0;0;0;0
22,2500;21360;12;1;240;70;0,2490;239;1;0;0;0;0;0;0
22,5000;21600;12;2;0;69;0,2490;239;1;0;0;1;0;0;0
22,7500;21840;12;2;240;72;0,2490;239;1;0;0;0;0;0;0
23,0000;22080;12;3;0;70;0,7490;719;3;0;0;0;0;0;0
23,7500;22800;12;4;240;67;1,2490;1199;5;1;1;1;1;1;1
25,2500;24240;13;3;240;60;0,4990;479;2;0;0;0;0;0;0
25,7500;24720;13;4;240;60;0,2490;239;1;0;0;1;0;0;0
26,0000;24960;14;1;0;64;0,2490;239;1;0;0;0;0;0;0
26,2500;25200;14;1;240;64;0,2490;239;1;1;0;1;0;0;0
26,5000;25440;14;2;0;67;0,2490;239;1;0;0;0;0;0;0
26,7500;25680;14;2;240;67;0,2490;239;1;0;0;0;0;0;0
27,0000;25920;14;3;0;70;0,7490;719;3;0;0;0;0;0;0
27,7500;26640;14;4;240;67;1,2490;1199;5;1;1;1;1;1;1
29,2500;28080;15;3;240;72;0,4990;479;2;0;0;0;0;0;0
29,7500;28560;15;4;240;74;0,2490;239;1;0;0;0;0;0;0
30,0000;28800;16;1;0;72;0,2490;239;1;0;0;0;0;0;0
30,2500;29040;16;1;240;70;0,2490;239;1;0;0;0;0;0;0
30,5000;29280;16;2;0;69;0,2490;239;1;0;0;0;0;0;0
30,7500;29520;16;2;240;67;0,2490;239;1;0;0;0;0;0;0
31,0000;29760;16;3;0;69;0,7490;719;3;1;1;1;1;0;0
31,7500;30480;16;4;240;65;1,2490;1199;5;1;1;1;1;1;1
