Signature: 13/2, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;71;0,2490;239;6;0;0;0;0;0;0
0,2500;240;1;1;240;69;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;74;0,7490;719;18;1;1;0;0;0;0
1,2500;1200;1;3;240;76;0,2490;239;6;0;0;0;0;0;0
1,5000;1440;1;4;0;67;1,4990;1439;36;0;0;1;1;1;1
3,0000;2880;1;7;0;71;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;1;7;240;69;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;1;8;0;74;0,7490;719;18;1;1;1;0;0;0
4,2500;4080;1;9;240;71;0,1656;159;4;0;0;0;0;0;0
4,4167;4240;1;9;400;69;0,1656;159;4;0;0;0;0;0;0
4,5833;4400;1;10;80;71;0,1656;159;4;0;0;0;0;0;0
4,7500;4560;1;10;240;62;0,9990;959;24;1;1;1;1;1;1
5,8750;5640;1;12;360;64;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;1;13;0;67;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;1;13;240;64;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;2;1;0;69;0,7490;719;18;1;1;0;0;0;0
7,2500;6960;2;2;240;71;0,2490;239;6;0;0;1;0;0;0
7,5000;7200;2;3;0;62;0,9990;959;24;1;1;0;0;1;1
8,5000;8160;2;5;0;64;0,2490;239;6;0;0;0;0;0;0
8,7500;8400;2;5;240;67;0,1240;119;3;0;0;0;0;0;0
8,8750;8520;2;5;360;69;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;2;6;0;71;0,6656;639;16;1;0;1;0;0;0
9,6667;9280;2;7;160;69;0,1656;159;4;0;0;0;0;0;0
9,8333;9440;2;7;320;71;0,1656;159;4;0;0;0;0;0;0
10,0000;9600;2;8;0;74;0,4990;479;12;1;1;1;1;0;0
10,5000;10080;2;9;0;69;0,2490;239;6;0;0;0;0;0;0
10,7500;10320;2;9;240;71;0,2490;239;6;0;0;0;0;0;0
11,0000;10560;2;10;0;67;1,9990;1919;48;1;1;1;1;1;1
