Signature: 15/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,9990;959;4;0;0;0;0;0;0
1,0000;960;1;3;0;64;0,9990;959;4;1;0;1;0;0;0
2,0000;1920;1;5;0;65;0,4990;479;2;0;0;0;0;0;0
2,5000;2400;1;6;0;65;0,9990;959;4;0;1;0;0;0;0
3,5000;3360;1;8;0;62;1,9990;1919;8;0;1;1;1;1;1
5,5000;5280;1;12;0;69;0,9990;959;4;0;0;0;0;0;0
6,5000;6240;1;14;0;71;0,9990;959;4;0;0;0;0;0;0
7,5000;7200;2;1;0;74;0,4990;479;2;0;0;0;0;0;0
8,0000;7680;2;2;0;69;1,9990;1919;8;0;1;1;0;0;1
10,0000;9600;2;6;0;62;0,9990;959;4;0;0;0;0;0;0
11,0000;10560;2;8;0;69;0,9990;959;4;1;0;0;0;0;0
12,0000;11520;2;10;0;71;0,4990;479;2;0;0;0;0;0;0
12,5000;12000;2;11;0;72;1,9990;1919;8;1;1;1;0;0;1
14,5000;13920;2;15;0;71;0,9990;959;4;0;0;0;0;0;0
15,5000;14880;3;2;0;71;0,9990;959;4;0;0;1;0;1;0
16,5000;15840;3;4;0;69;0,9990;959;4;0;0;0;0;0;0
17,5000;16800;3;6;0;71;0,9990;959;4;0;0;0;0;0;0
18,5000;17760;3;8;0;69;0,9990;959;4;0;0;0;0;0;0
19,5000;18720;3;10;0;67;0,9990;959;4;0;1;1;0;0;0
20,5000;19680;3;12;0;65;0,4990;479;2;0;1;0;0;0;0
21,0000;20160;3;13;0;65;1,9990;1919;8;0;0;1;0;0;1
23,0000;22080;4;2;0;65;0,9990;959;4;0;0;0;0;0;0
24,0000;23040;4;4;0;65;0,9990;959;4;0;0;0;0;0;0
25,0000;24000;4;6;0;67;0,4990;479;2;0;0;0;0;0;0
25,5000;24480;4;7;0;69;1,9990;1919;8;1;0;0;0;1;1
27,5000;26400;4;11;0;69;0,9990;959;4;0;0;1;0;0;0
28,5000;27360;4;13;0;62;0,9990;959;4;0;0;0;0;0;0
29,5000;28320;4;15;0;64;0,9990;959;4;0;0;0;0;0;0
30,5000;29280;5;2;0;65;0,9990;959;4;0;0;0;0;0;0
31,5000;30240;5;4;0;67;1,9990;1919;8;1;1;1;1;0;1
33,5000;32160;5;8;0;60;0,9990;959;4;0;0;0;0;0;0
34,5000;33120;5;10;0;62;0,9990;959;4;0;0;0;0;0;0
35,5000;34080;5;12;0;64;0,9990;959;4;0;0;0;0;0;0
36,5000;35040;5;14;0;65;1,9990;1919;8;1;1;1;0;1;1
38,5000;36960;6;3;0;62;0,9990;959;4;0;0;0;0;0;0
39,5000;37920;6;5;0;64;0,9990;959;4;0;0;1;0;0;0
40,5000;38880;6;7;0;62;0,4990;479;2;1;0;0;0;0;0
41,0000;39360;6;8;0;62;1,9990;1919;8;0;0;1;1;0;1
43,0000;41280;6;12;0;60;1,9990;1919;8;0;0;0;0;0;0
45,0000;43200;7;1;0;62;0,9990;959;4;1;1;1;1;1;1
