Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;74;0,4990;479;2;0;0;0;0;0;0
0,5000;480;1;2;0;71;0,7490;719;3;1;1;1;0;0;0
1,2500;1200;1;3;240;72;0,2490;239;1;0;0;0;0;0;0
1,5000;1440;2;1;0;71;0,4990;479;2;0;0;0;0;0;0
2,0000;1920;2;2;0;69;0,4990;479;2;1;0;1;1;0;0
2,7500;2640;2;3;240;67;0,2490;239;1;0;0;0;0;0;0
3,0000;2880;3;1;0;71;0,4990;479;2;0;0;0;0;0;0
3,5000;3360;3;2;0;72;0,4990;479;2;0;0;1;0;0;0
4,0000;3840;3;3;0;76;0,4990;479;2;0;0;0;0;0;0
4,5000;4320;4;1;0;74;0,9990;959;4;1;1;1;1;1;0
5,5000;5280;4;3;0;78;0,2490;239;1;0;0;0;0;0;0
5,7500;5520;4;3;240;79;0,2490;239;1;0;0;0;0;0;0
6,0000;5760;5;1;0;81;0,4990;479;2;0;0;0;0;0;0
6,5000;6240;5;2;0;79;0,7490;719;3;1;0;1;0;0;0
7,2500;6960;5;3;240;76;0,2490;239;1;0;0;0;0;0;0
7,5000;7200;6;1;0;79;0,4990;479;2;0;1;0;0;0;0
8,0000;7680;6;2;0;74;0,9990;959;4;0;0;1;0;0;0
9,0000;8640;7;1;0;72;0,4990;479;2;0;0;0;0;0;0
9,5000;9120;7;2;0;69;0,4990;479;2;0;0;0;0;0;0
10,0000;9600;7;3;0;72;0,4990;479;2;0;0;0;0;0;0
10,5000;10080;8;1;0;71;0,9990;959;4;1;1;1;1;1;0
11,5000;11040;8;3;0;78;0,2490;239;1;0;0;0;0;0;0
11,7500;11280;8;3;240;79;0,2490;239;1;0;0;0;0;0;0
12,0000;11520;9;1;0;81;0,4990;479;2;0;0;0;0;0;0
12,5000;12000;9;2;0;79;0,7490;719;3;1;0;1;0;0;0
13,2500;12720;9;3;240;76;0,2490;239;1;0;0;0;0;0;0
13,5000;12960;10;1;0;79;0,4990;479;2;0;0;0;0;0;0
14,0000;13440;10;2;0;74;0,9990;959;4;1;1;1;1;0;0
15,0000;14400;11;1;0;84;0,4990;479;2;0;0;0;0;0;0
15,5000;14880;11;2;0;83;0,4990;479;2;0;0;0;0;0;0
16,0000;15360;11;3;0;81;0,4990;479;2;0;0;0;0;0;0
16,5000;15840;12;1;0;79;1,4990;1439;6;1;1;1;1;1;1
