Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;74;0,2490;239;2;0;0;1;0;0;0
0,2500;240;1;1;240;66;0,2490;239;2;0;0;0;0;0;0
0,5000;480;1;2;0;69;0,3740;359;3;1;0;1;1;0;0
0,8750;840;1;2;360;71;0,1240;119;1;0;0;0;0;0;0
1,0000;960;2;1;0;74;0,2490;239;2;0;0;1;0;0;0
1,2500;1200;2;1;240;73;0,1240;119;1;0;0;0;0;0;0
1,3750;1320;2;1;360;71;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;2;2;0;66;0,4990;479;4;1;1;1;1;1;0
2,0000;1920;3;1;0;78;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;3;1;240;78;0,1240;119;1;0;0;0;0;0;0
2,3750;2280;3;1;360;76;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;3;2;0;78;0,1240;119;1;0;0;0;0;0;0
2,6250;2520;3;2;120;81;0,1240;119;1;0;0;0;0;0;0
2,7500;2640;3;2;240;78;0,1240;119;1;0;0;0;0;0;0
2,8750;2760;3;2;360;76;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;74;0,2490;239;2;1;0;1;0;0;0
3,2500;3120;4;1;240;73;0,1240;119;1;0;0;0;0;0;0
3,3750;3240;4;1;360;71;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;4;2;0;66;0,4990;479;4;1;1;1;1;1;0
4,0000;3840;5;1;0;74;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;5;1;240;69;0,1240;119;1;0;0;0;0;0;0
4,3750;4200;5;1;360;71;0,1240;119;1;1;0;1;0;0;0
4,5000;4320;5;2;0;74;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;5;2;240;74;0,2490;239;2;0;0;1;1;0;0
5,0000;4800;6;1;0;69;0,2490;239;2;1;0;0;0;0;0
5,2500;5040;6;1;240;71;0,1240;119;1;0;0;0;0;0;0
5,3750;5160;6;1;360;74;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;6;2;0;71;0,2490;239;2;1;1;1;0;1;0
5,7500;5520;6;2;240;71;0,1240;119;1;0;0;0;0;0;0
5,8750;5640;6;2;360;69;0,1240;119;1;0;0;1;0;0;0
6,0000;5760;7;1;0;66;0,2490;239;2;1;0;0;0;0;0
6,2500;6000;7;1;240;66;0,1240;119;1;0;0;0;0;0;0
6,3750;6120;7;1;360;64;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;7;2;0;66;0,3740;359;3;1;0;1;0;0;0
6,8750;6600;7;2;360;64;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;8;1;0;62;0,4990;479;4;1;1;1;1;1;0
7,7500;7440;8;2;240;78;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;76;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;9;1;240;78;0,2490;239;2;1;0;1;0;0;0
8,5000;8160;9;2;0;71;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;9;2;240;76;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;10;1;0;74;0,4990;479;4;1;1;1;0;0;0
9,5000;9120;10;2;0;78;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;10;2;240;73;0,1240;119;1;0;0;0;0;0;0
9,8750;9480;10;2;360;71;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;11;1;0;69;0,4990;479;4;1;0;1;0;1;0
10,5000;10080;11;2;0;71;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;11;2;240;69;0,1240;119;1;0;0;0;0;0;0
10,8750;10440;11;2;360;66;0,1240;119;1;0;0;0;0;0;0
11,0000;10560;12;1;0;64;0,4990;479;4;1;1;1;0;0;0
11,5000;11040;12;2;0;69;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;12;2;240;71;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;13;1;0;74;0,7490;719;6;1;1;1;1;1;0
12,7500;12240;13;2;240;78;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;14;1;0;76;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;14;1;240;78;0,2490;239;2;1;0;1;0;0;0
13,5000;12960;14;2;0;71;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;14;2;240;76;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;15;1;0;74;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;15;1;240;74;0,2490;239;2;0;0;1;0;0;0
14,5000;13920;15;2;0;69;0,2490;239;2;1;0;0;0;0;0
14,7500;14160;15;2;240;69;0,1240;119;1;0;0;0;0;0;0
14,8750;14280;15;2;360;69;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;16;1;0;71;0,4990;479;4;1;1;1;1;1;0
15,5000;14880;16;2;0;66;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;16;2;240;66;0,1240;119;1;0;0;0;0;0;0
15,8750;15240;16;2;360;66;0,1240;119;1;1;0;1;0;0;0
16,0000;15360;17;1;0;64;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;17;1;240;62;0,7490;719;6;1;1;1;1;1;1
