Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,9990;959;4;0;0;1;0;0;0
1,0000;960;1;3;0;63;0,9990;959;4;0;0;0;0;0;0
2,0000;1920;2;1;0;63;0,2490;239;1;0;0;1;0;0;0
2,2500;2160;2;1;240;58;0,7490;719;3;0;0;0;0;0;0
3,0000;2880;2;3;0;63;0,7490;719;3;1;1;1;1;0;0
4,0000;3840;3;1;0;67;0,2490;239;1;0;0;0;0;0;0
4,2500;4080;3;1;240;65;0,7490;719;3;0;0;1;0;0;0
5,0000;4800;3;3;0;63;0,9990;959;4;1;0;0;0;0;0
6,0000;5760;4;1;0;63;0,2490;239;1;0;0;0;0;0;0
6,2500;6000;4;1;240;58;0,7490;719;3;0;0;0;0;0;0
7,0000;6720;4;3;0;63;0,7490;719;3;1;0;1;1;1;0
8,0000;7680;5;1;0;63;0,2490;239;1;0;0;0;0;0;0
8,2500;7920;5;1;240;63;0,2490;239;1;0;0;1;0;0;0
8,5000;8160;5;2;0;65;0,2490;239;1;0;0;0;0;0;0
8,7500;8400;5;2;240;67;0,2490;239;1;0;0;0;0;0;0
9,0000;8640;5;3;0;63;0,7490;719;3;1;1;1;1;0;0
10,0000;9600;6;1;0;63;0,4990;479;2;0;0;0;0;0;0
10,5000;10080;6;2;0;58;0,4990;479;2;0;0;0;0;0;0
11,0000;10560;6;3;0;63;0,7490;719;3;1;0;1;0;1;0
12,0000;11520;7;1;0;67;0,4990;479;2;0;0;0;0;0;0
12,5000;12000;7;2;0;63;0,4990;479;2;0;0;0;0;0;0
13,0000;12480;7;3;0;67;0,7490;719;3;1;1;1;1;0;0
14,0000;13440;8;1;0;63;0,2490;239;1;0;0;0;0;0;0
14,2500;13680;8;1;240;63;0,2490;239;1;0;0;0;0;0;0
14,5000;13920;8;2;0;67;0,4990;479;2;0;0;0;0;0;0
15,0000;14400;8;3;0;63;0,7490;719;3;1;1;1;0;0;0
16,0000;15360;9;1;0;63;0,4990;479;2;0;0;0;0;0;0
16,5000;15840;9;2;0;58;0,4990;479;2;0;0;0;0;0;0
17,0000;16320;9;3;0;63;0,7490;719;3;1;0;1;0;1;0
18,0000;17280;10;1;0;63;0,4990;479;2;0;0;0;0;0;0
18,5000;17760;10;2;0;58;0,4990;479;2;0;0;0;0;0;0
19,0000;18240;10;3;0;63;0,7490;719;3;1;1;1;1;0;0
20,0000;19200;11;1;0;67;0,2490;239;1;0;0;0;0;0;0
20,2500;19440;11;1;240;65;0,7490;719;3;0;0;0;0;0;0
21,0000;20160;11;3;0;63;0,7490;719;3;1;0;1;0;0;0
22,0000;21120;12;1;0;63;0,2490;239;1;0;0;0;0;0;0
22,2500;21360;12;1;240;58;0,7490;719;3;1;0;0;0;0;0
23,0000;22080;12;3;0;63;0,7490;719;3;0;0;1;0;1;0
24,0000;23040;13;1;0;67;0,9990;959;4;0;0;0;0;0;0
25,0000;24000;13;3;0;63;0,9990;959;4;0;0;0;0;0;0
26,0000;24960;14;1;0;63;0,2490;239;1;0;0;0;0;0;0
26,2500;25200;14;1;240;58;0,7490;719;3;0;0;0;0;0;0
27,0000;25920;14;3;0;63;0,7490;719;3;1;0;1;1;0;0
28,0000;26880;15;1;0;63;0,2490;239;1;0;0;0;0;0;0
28,2500;27120;15;1;240;63;0,2490;239;1;0;0;1;0;0;0
28,5000;27360;15;2;0;65;0,2490;239;1;0;0;0;0;0;0
28,7500;27600;15;2;240;67;0,2490;239;1;0;0;0;0;0;0
29,0000;27840;15;3;0;63;0,7490;719;3;1;1;1;1;1;0
30,0000;28800;16;1;0;63;0,4990;479;2;0;0;0;0;0;0
30,5000;29280;16;2;0;58;0,4990;479;2;0;0;0;0;0;0
31,0000;29760;16;3;0;63;0,7490;719;3;1;0;1;0;0;0
32,0000;30720;17;1;0;67;0,4990;479;2;0;0;0;0;0;0
32,5000;31200;17;2;0;63;0,4990;479;2;0;0;0;0;0;0
33,0000;31680;17;3;0;67;0,7490;719;3;1;1;1;1;0;0
34,0000;32640;18;1;0;63;0,2490;239;1;0;0;0;0;0;0
34,2500;32880;18;1;240;63;0,2490;239;1;0;0;0;0;0;0
34,5000;33120;18;2;0;67;0,4990;479;2;0;0;0;0;0;0
35,0000;33600;18;3;0;63;0,7490;719;3;1;1;1;0;1;0
36,0000;34560;19;1;0;63;0,4990;479;2;0;0;0;0;0;0
36,5000;35040;19;2;0;58;0,4990;479;2;0;0;0;0;0;0
37,0000;35520;19;3;0;63;0,7490;719;3;1;0;1;0;0;0
38,0000;36480;20;1;0;63;0,4990;479;2;0;0;0;0;0;0
38,5000;36960;20;2;0;58;0,4990;479;2;0;0;0;0;0;0
39,0000;37440;20;3;0;63;0,7490;719;3;1;1;1;1;0;0
40,0000;38400;21;1;0;67;0,2490;239;1;0;0;0;0;0;0
40,2500;38640;21;1;240;65;0,7490;719;3;0;0;0;0;0;0
41,0000;39360;21;3;0;63;0,7490;719;3;1;0;1;0;1;0
42,0000;40320;22;1;0;63;0,2490;239;1;0;0;0;0;0;0
42,2500;40560;22;1;240;58;0,7490;719;3;0;0;0;0;0;0
43,0000;41280;22;3;0;63;0,9990;959;4;1;1;1;1;1;1
