Signature: 7/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,2490;239;2;1;0;1;1;0;0
0,2500;240;1;1;240;65;0,4990;479;4;0;0;0;0;0;0
0,7500;720;1;2;240;65;0,4990;479;4;0;0;0;0;0;0
1,2500;1200;1;3;240;65;0,3740;359;3;1;0;1;0;0;0
1,6250;1560;1;4;120;65;0,1240;119;1;0;0;0;0;0;0
1,7500;1680;1;4;240;65;0,2490;239;2;0;0;1;0;0;0
2,0000;1920;1;5;0;67;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;1;5;240;69;0,3740;359;3;1;1;1;1;0;0
2,6250;2520;1;6;120;69;0,1240;119;1;0;0;0;0;0;0
2,7500;2640;1;6;240;69;0,2490;239;2;0;0;1;0;0;0
3,0000;2880;1;7;0;67;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;1;7;240;65;0,4990;479;4;1;0;1;1;1;0
4,0000;3840;2;2;0;67;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;2;2;240;69;0,4990;479;4;0;0;0;0;0;0
4,7500;4560;2;3;240;72;0,4990;479;4;1;0;1;0;0;0
5,2500;5040;2;4;240;70;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;2;5;0;70;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;2;5;240;69;0,2490;239;2;0;0;1;1;0;0
6,0000;5760;2;6;0;60;0,2490;239;2;1;0;0;0;0;0
6,2500;6000;2;6;240;65;0,4990;479;4;0;0;0;0;1;0
6,7500;6480;2;7;240;65;0,4990;479;4;0;0;0;0;0;0
7,2500;6960;3;1;240;65;0,3740;359;3;1;0;1;0;0;0
7,6250;7320;3;2;120;65;0,1240;119;1;0;0;0;0;0;0
7,7500;7440;3;2;240;65;0,2490;239;2;0;0;1;0;0;0
8,0000;7680;3;3;0;67;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;3;3;240;69;0,3740;359;3;1;1;1;1;0;0
8,6250;8280;3;4;120;69;0,1240;119;1;0;0;0;0;0;0
8,7500;8400;3;4;240;69;0,2490;239;2;0;0;1;0;0;0
9,0000;8640;3;5;0;67;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;3;5;240;65;0,4990;479;4;1;0;1;1;1;0
10,0000;9600;3;7;0;67;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;3;7;240;69;0,4990;479;4;0;0;0;0;0;0
10,7500;10320;4;1;240;72;0,4990;479;4;1;0;1;0;0;0
11,2500;10800;4;2;240;70;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;4;3;0;70;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;4;3;240;69;0,2490;239;2;0;0;1;1;1;0
12,2500;11760;4;4;240;67;0,4990;479;4;1;1;0;0;0;0
12,7500;12240;4;5;240;69;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;4;6;0;70;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;4;6;240;72;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;4;7;0;70;0,2490;239;2;1;0;1;0;0;0
13,7500;13200;4;7;240;69;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;5;1;0;69;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;5;1;240;67;0,7490;719;6;1;0;1;0;0;0
15,0000;14400;5;3;0;65;0,2490;239;2;0;0;0;0;0;0
15,2500;14640;5;3;240;65;0,4990;479;4;1;1;1;1;1;0
16,0000;15360;5;5;0;72;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;5;5;240;72;0,3740;359;3;1;1;1;0;0;0
16,6250;15960;5;6;120;70;0,1240;119;1;0;0;0;0;0;0
16,7500;16080;5;6;240;69;0,2490;239;2;0;0;0;0;0;0
17,0000;16320;5;7;0;70;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;5;7;240;72;0,7490;719;6;1;0;1;1;0;0
18,0000;17280;6;2;0;72;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;6;2;240;74;0,3740;359;3;1;0;1;0;0;0
18,6250;17880;6;3;120;76;0,1240;119;1;0;0;0;0;0;0
18,7500;18000;6;3;240;77;0,2490;239;2;0;0;1;0;0;0
19,0000;18240;6;4;0;74;0,2490;239;2;0;0;0;0;0;0
19,2500;18480;6;4;240;72;0,4990;479;4;1;1;1;1;1;0
20,0000;19200;6;6;0;69;0,2490;239;2;0;0;0;0;0;0
20,2500;19440;6;6;240;69;0,3740;359;3;1;0;1;0;0;0
20,6250;19800;6;7;120;70;0,1240;119;1;0;0;0;0;0;0
20,7500;19920;6;7;240;72;0,2490;239;2;0;0;0;0;0;0
21,0000;20160;7;1;0;72;0,2490;239;2;0;0;1;0;0;0
21,2500;20400;7;1;240;70;0,2490;239;2;0;0;0;0;0;0
21,5000;20640;7;2;0;70;0,2490;239;2;0;0;0;0;0;0
21,7500;20880;7;2;240;69;0,2490;239;2;0;0;1;0;0;0
22,0000;21120;7;3;0;72;0,2490;239;2;0;0;0;0;0;0
22,2500;21360;7;3;240;72;0,3740;359;3;1;1;1;0;1;0
22,6250;21720;7;4;120;70;0,1240;119;1;0;0;0;0;0;0
22,7500;21840;7;4;240;69;0,2490;239;2;0;0;0;0;0;0
