Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,4990;479;12;1;0;0;0;0;0
0,5000;480;1;2;0;62;0,2490;239;6;0;0;0;0;0;0
0,7500;720;1;2;240;60;0,2490;239;6;0;0;0;0;0;0
1,0000;960;1;3;0;55;0,7490;719;18;1;1;1;0;0;0
1,7500;1680;2;1;240;55;0,2490;239;6;0;0;0;0;0;0
2,0000;1920;2;2;0;55;0,2490;239;6;1;0;0;0;0;0
2,2500;2160;2;2;240;55;0,1240;119;3;0;0;0;0;0;0
2,3750;2280;2;2;360;55;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;2;3;0;55;0,2490;239;6;0;0;0;0;0;0
2,7500;2640;2;3;240;55;0,2490;239;6;0;0;0;0;1;0
3,0000;2880;3;1;0;50;0,3740;359;9;1;1;1;1;0;0
3,3750;3240;3;1;360;60;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;3;2;0;60;0,4990;479;12;1;0;1;0;0;0
4,0000;3840;3;3;0;60;0,1240;119;3;0;0;0;0;0;0
4,1250;3960;3;3;120;55;0,1240;119;3;0;0;0;0;0;0
4,2500;4080;3;3;240;55;0,1240;119;3;0;0;0;0;0;0
4,3750;4200;3;3;360;53;0,1240;119;3;1;0;1;0;0;0
4,5000;4320;4;1;0;50;0,2490;239;6;0;0;0;0;0;0
4,7500;4560;4;1;240;50;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;4;2;0;48;0,7490;719;18;1;1;1;1;1;0
5,7500;5520;4;3;240;48;0,2490;239;6;0;0;0;0;0;0
6,0000;5760;5;1;0;55;0,4990;479;12;0;0;0;0;0;0
6,5000;6240;5;2;0;58;0,1656;159;4;0;0;0;0;0;0
6,6667;6400;5;2;160;55;0,1656;159;4;0;0;0;0;0;0
6,8333;6560;5;2;320;53;0,1656;159;4;0;0;0;0;0;0
7,0000;6720;5;3;0;50;0,4990;479;12;1;1;1;0;0;0
7,5000;7200;6;1;0;48;0,3740;359;9;0;0;0;0;0;0
7,8750;7560;6;1;360;47;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;6;2;0;48;0,4990;479;12;1;0;1;0;0;0
8,5000;8160;6;3;0;50;0,1656;159;4;0;0;0;0;0;0
8,6667;8320;6;3;160;48;0,1656;159;4;0;0;0;0;0;0
8,8333;8480;6;3;320;46;0,1656;159;4;0;0;0;0;0;0
9,0000;8640;7;1;0;48;0,7490;719;18;1;1;1;1;1;0
9,7500;9360;7;2;240;62;0,2490;239;6;0;0;0;0;0;0
10,0000;9600;7;3;0;62;0,4990;479;12;1;0;1;0;0;0
10,5000;10080;8;1;0;62;0,2490;239;6;0;0;0;0;0;0
10,7500;10320;8;1;240;60;0,2490;239;6;0;0;0;0;0;0
11,0000;10560;8;2;0;58;0,1656;159;4;1;0;0;0;0;0
11,1667;10720;8;2;160;60;0,1656;159;4;0;0;0;0;0;0
11,3333;10880;8;2;320;58;0,1656;159;4;0;0;0;0;0;0
11,5000;11040;8;3;0;55;0,7490;719;18;1;1;1;1;1;0
12,2500;11760;9;1;240;55;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;9;2;0;55;0,4990;479;12;1;1;1;0;0;0
13,0000;12480;9;3;0;55;0,2490;239;6;0;0;0;0;0;0
13,2500;12720;9;3;240;53;0,2490;239;6;0;0;0;0;0;0
13,5000;12960;10;1;0;50;0,2490;239;6;1;0;1;0;0;0
13,7500;13200;10;1;240;53;0,1240;119;3;0;0;0;0;0;0
13,8750;13320;10;1;360;53;0,1240;119;3;0;0;0;0;0;0
14,0000;13440;10;2;0;50;0,7490;719;18;1;1;1;1;1;0
14,7500;14160;10;3;240;50;0,2490;239;6;0;0;0;0;0;0
15,0000;14400;11;1;0;48;0,3740;359;9;1;0;1;0;0;0
15,3750;14760;11;1;360;46;0,1240;119;3;0;0;0;0;0;0
15,5000;14880;11;2;0;43;0,4990;479;12;1;1;1;1;0;0
16,0000;15360;11;3;0;45;0,1656;159;4;0;0;0;0;0;0
16,1667;15520;11;3;160;45;0,1656;159;4;0;0;0;0;0;0
16,3333;15680;11;3;320;46;0,1656;159;4;0;0;0;0;0;0
16,5000;15840;12;1;0;43;0,9990;959;24;1;1;1;1;1;1
