Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;63;0,3740;359;18;1;0;1;0;0;0
0,3750;360;1;1;360;63;0,1240;119;6;0;0;0;0;0;0
0,5000;480;1;2;0;63;0,2490;239;12;0;0;0;0;0;0
0,7500;720;1;2;240;63;0,1865;179;9;0;1;1;0;0;0
0,9375;900;1;2;420;60;0,0615;59;3;0;1;0;0;0;0
1,0000;960;2;1;0;63;0,4990;479;24;0;0;1;1;0;1
1,5000;1440;2;2;0;58;0,4990;479;24;0;0;0;0;1;1
2,0000;1920;3;1;0;63;0,3740;359;18;1;1;0;0;0;0
2,3750;2280;3;1;360;63;0,1240;119;6;0;0;0;0;0;0
2,5000;2400;3;2;0;63;0,2490;239;12;0;0;0;0;0;0
2,7500;2640;3;2;240;63;0,1865;179;9;0;1;1;0;0;0
2,9375;2820;3;2;420;60;0,0615;59;3;0;1;0;0;0;0
3,0000;2880;4;1;0;63;0,4990;479;24;0;0;1;0;0;1
3,5000;3360;4;2;0;58;0,4990;479;24;0;0;0;0;1;1
4,0000;3840;5;1;0;63;0,2490;239;12;1;1;1;1;0;0
4,2500;4080;5;1;240;58;0,1240;119;6;0;0;0;0;0;0
4,3750;4200;5;1;360;58;0,1240;119;6;0;0;0;0;0;0
4,5000;4320;5;2;0;63;0,2490;239;12;1;1;1;1;0;0
4,7500;4560;5;2;240;58;0,1240;119;6;0;0;0;0;0;0
4,8750;4680;5;2;360;58;0,1240;119;6;0;0;0;0;0;0
5,0000;4800;6;1;0;63;0,2490;239;12;1;0;1;1;0;0
5,2500;5040;6;1;240;58;0,1240;119;6;0;0;0;0;0;0
5,3750;5160;6;1;360;58;0,1240;119;6;0;0;1;0;0;0
5,5000;5280;6;2;0;55;0,3740;359;18;1;1;0;0;1;0
5,8750;5640;6;2;360;55;0,1240;119;6;0;0;0;0;0;0
6,0000;5760;7;1;0;55;0,2490;239;12;0;0;0;0;0;0
6,2500;6000;7;1;240;55;0,2490;239;12;0;0;1;0;0;0
6,5000;6240;7;2;0;63;0,1656;159;8;1;0;0;0;0;0
6,6667;6400;7;2;160;58;0,2490;239;12;0;0;0;0;0;0
6,9167;6640;7;2;400;55;0,0823;79;4;0;0;0;0;0;0
7,0000;6720;8;1;0;58;0,3740;359;18;1;1;1;1;0;0
7,3750;7080;8;1;360;51;0,1240;119;6;0;0;0;0;0;0
7,5000;7200;8;2;0;51;0,4990;479;24;1;0;1;0;1;1
8,0000;7680;9;1;0;55;0,3740;359;18;0;0;0;0;0;0
8,3750;8040;9;1;360;55;0,1240;119;6;0;0;1;0;0;0
8,5000;8160;9;2;0;58;0,1656;159;8;1;0;0;0;0;0
8,6667;8320;9;2;160;55;0,1656;159;8;0;0;1;0;0;0
8,8333;8480;9;2;320;51;0,1656;159;8;0;0;0;0;0;0
9,0000;8640;10;1;0;51;0,7490;719;36;1;0;1;0;0;1
9,7500;9360;10;2;240;51;0,2490;239;12;0;0;0;0;0;0
10,0000;9600;11;1;0;51;0,4990;479;24;0;0;0;0;0;1
10,5000;10080;11;2;0;51;0,9990;959;48;1;1;1;1;1;1
11,5000;11040;12;2;0;63;0,1240;119;6;0;0;0;0;0;0
11,6250;11160;12;2;120;58;0,1240;119;6;0;0;0;0;0;0
11,7500;11280;12;2;240;58;0,1240;119;6;0;0;0;0;0;0
11,8750;11400;12;2;360;58;0,1240;119;6;1;0;1;0;0;0
12,0000;11520;13;1;0;55;0,4990;479;24;0;0;0;0;0;1
12,5000;12000;13;2;0;55;0,4990;479;24;1;1;1;1;1;1
13,0000;12480;14;1;0;63;0,1240;119;6;0;0;0;0;0;0
13,1250;12600;14;1;120;58;0,1240;119;6;0;0;0;0;0;0
13,2500;12720;14;1;240;58;0,1240;119;6;0;0;0;0;0;0
13,3750;12840;14;1;360;58;0,1240;119;6;0;0;0;0;0;0
13,5000;12960;14;2;0;55;0,4990;479;24;1;0;1;0;0;1
14,0000;13440;15;1;0;58;0,1240;119;6;0;0;0;0;0;0
14,1250;13560;15;1;120;55;0,1240;119;6;0;0;0;0;0;0
14,2500;13680;15;1;240;55;0,1240;119;6;0;0;0;0;0;0
14,3750;13800;15;1;360;55;0,1240;119;6;0;0;1;0;0;0
14,5000;13920;15;2;0;51;0,4990;479;24;1;1;0;0;1;1
15,0000;14400;16;1;0;51;0,2490;239;12;0;0;0;0;0;0
15,2500;14640;16;1;240;51;0,2490;239;12;1;0;1;0;0;0
15,5000;14880;16;2;0;55;0,2490;239;12;0;0;0;0;0;0
15,7500;15120;16;2;240;55;0,2490;239;12;0;0;1;0;0;0
16,0000;15360;17;1;0;58;0,1240;119;6;0;0;0;0;0;0
16,1250;15480;17;1;120;55;0,3740;359;18;1;1;1;0;0;0
16,5000;15840;17;2;0;51;0,3740;359;18;0;0;0;0;0;0
16,8750;16200;17;2;360;51;0,1240;119;6;0;0;0;0;0;0
17,0000;16320;18;1;0;51;0,9990;959;48;0;0;1;1;0;0
18,0000;17280;19;1;0;51;0,9990;959;48;1;1;1;1;1;1
