Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,1240;119;2;0;0;0;0;0;0
0,1250;120;1;1;120;62;0,4990;479;8;0;1;0;0;0;1
0,6250;600;1;2;120;62;0,1240;119;2;0;0;1;1;0;0
0,7500;720;1;2;240;57;0,0615;59;1;0;0;0;0;0;0
0,8125;780;1;2;300;57;0,0615;59;1;0;0;0;0;0;0
0,8750;840;1;2;360;57;0,1240;119;2;1;1;1;0;0;0
1,0000;960;2;1;0;55;0,0615;59;1;0;0;0;0;0;0
1,0625;1020;2;1;60;55;0,0615;59;1;0;0;0;0;0;0
1,1250;1080;2;1;120;55;1,3740;1319;22;1;1;1;1;1;1
2,5000;2400;3;2;0;57;0,1240;119;2;0;0;0;0;0;0
2,6250;2520;3;2;120;57;0,4990;479;8;0;0;0;0;0;1
3,1250;3000;4;1;120;57;0,1240;119;2;0;1;1;0;0;0
3,2500;3120;4;1;240;55;0,0615;59;1;0;0;0;0;0;0
3,3125;3180;4;1;300;55;0,0615;59;1;0;0;0;0;0;0
3,3750;3240;4;1;360;55;0,1240;119;2;1;0;1;0;0;0
3,5000;3360;4;2;0;55;0,0615;59;1;0;0;0;0;0;0
3,5625;3420;4;2;60;55;0,0615;59;1;0;0;0;0;0;0
3,6250;3480;4;2;120;58;0,1240;119;2;1;0;1;0;0;0
3,7500;3600;4;2;240;55;0,3740;359;6;0;0;0;0;0;0
4,1250;3960;5;1;120;55;0,4990;479;8;0;0;0;0;1;1
4,6250;4440;5;2;120;55;0,3740;359;6;1;1;1;1;0;0
5,0000;4800;6;1;0;58;0,1240;119;2;0;0;0;0;0;0
5,1250;4920;6;1;120;58;0,1240;119;2;0;0;1;0;0;0
5,2500;5040;6;1;240;55;0,2490;239;4;0;0;0;0;0;0
5,5000;5280;6;2;0;55;0,1240;119;2;0;0;0;0;0;0
5,6250;5400;6;2;120;55;0,3740;359;6;1;1;1;0;0;0
6,0000;5760;7;1;0;57;0,1240;119;2;0;0;0;0;0;0
6,1250;5880;7;1;120;55;0,2490;239;4;1;0;1;0;0;0
6,3750;6120;7;1;360;53;0,1240;119;2;0;0;0;0;0;0
6,5000;6240;7;2;0;53;0,1240;119;2;0;0;0;0;0;0
6,6250;6360;7;2;120;53;0,1240;119;2;0;1;1;1;0;0
6,7500;6480;7;2;240;50;0,3740;359;6;0;0;0;0;0;0
7,1250;6840;8;1;120;50;0,4990;479;8;0;0;0;0;1;1
7,6250;7320;8;2;120;50;0,4990;479;8;0;0;0;0;0;1
8,1250;7800;9;1;120;50;0,4990;479;8;0;0;1;0;0;1
8,6250;8280;9;2;120;53;0,4990;479;8;0;0;0;0;0;1
9,1250;8760;10;1;120;53;0,1240;119;2;1;1;1;1;0;0
9,2500;8880;10;1;240;50;0,0615;59;1;0;0;0;0;0;0
9,3125;8940;10;1;300;50;0,0615;59;1;0;0;0;0;0;0
9,3750;9000;10;1;360;50;0,1240;119;2;1;0;1;0;0;0
9,5000;9120;10;2;0;50;0,0615;59;1;0;0;0;0;0;0
9,5625;9180;10;2;60;50;0,0615;59;1;0;0;0;0;0;0
9,6250;9240;10;2;120;53;0,1240;119;2;1;0;1;0;0;0
9,7500;9360;10;2;240;50;0,3740;359;6;0;0;0;0;0;0
10,1250;9720;11;1;120;50;0,4990;479;8;0;0;0;0;1;1
10,6250;10200;11;2;120;50;0,4990;479;8;0;0;1;0;0;1
11,1250;10680;12;1;120;53;0,3740;359;6;0;0;0;0;0;0
11,5000;11040;12;2;0;53;0,1240;119;2;0;0;1;0;0;0
11,6250;11160;12;2;120;50;0,3740;359;6;1;0;0;0;0;0
12,0000;11520;13;1;0;50;0,1240;119;2;0;0;0;0;0;0
12,1250;11640;13;1;120;50;0,8740;839;14;1;1;1;1;1;1
13,0000;12480;14;1;0;57;0,1240;119;2;0;0;0;0;0;0
13,1250;12600;14;1;120;57;0,4990;479;8;0;0;0;0;0;1
13,6250;13080;14;2;120;57;0,1240;119;2;0;1;1;0;0;0
13,7500;13200;14;2;240;55;0,0615;59;1;0;0;0;0;0;0
13,8125;13260;14;2;300;55;0,0615;59;1;0;0;0;0;0;0
13,8750;13320;14;2;360;55;0,1240;119;2;1;0;1;0;0;0
14,0000;13440;15;1;0;55;0,0615;59;1;0;0;0;0;0;0
14,0625;13500;15;1;60;55;0,0615;59;1;0;0;0;0;0;0
14,1250;13560;15;1;120;58;0,1240;119;2;1;0;1;0;0;0
14,2500;13680;15;1;240;55;0,3740;359;6;0;0;0;0;0;0
14,6250;14040;15;2;120;55;0,4990;479;8;0;0;0;0;1;1
