Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,2490;239;6;0;0;0;0;0;0
0,2500;240;1;1;240;57;0,2490;239;6;0;0;1;1;0;0
0,5000;480;1;2;0;64;0,3740;359;9;1;0;0;0;0;0
0,8750;840;1;2;360;62;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;3;0;60;0,4990;479;12;1;1;1;0;0;0
1,5000;1440;2;1;0;64;0,3740;359;9;0;0;0;0;0;0
1,8750;1800;2;1;360;62;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;2;2;0;60;0,4990;479;12;1;0;1;0;0;0
2,5000;2400;2;3;0;60;0,2490;239;6;0;0;0;0;0;0
2,7500;2640;2;3;240;60;0,2490;239;6;0;0;0;0;1;0
3,0000;2880;3;1;0;60;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;3;1;240;57;0,2490;239;6;0;0;1;0;0;0
3,5000;3360;3;2;0;60;0,3740;359;9;1;0;0;0;0;0
3,8750;3720;3;2;360;60;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;3;3;0;57;0,4990;479;12;1;1;1;1;0;0
4,5000;4320;4;1;0;55;0,2490;239;6;0;0;0;0;0;0
4,7500;4560;4;1;240;55;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;4;2;0;55;0,2490;239;6;0;0;1;0;0;0
5,2500;5040;4;2;240;52;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;4;3;0;52;0,9990;959;24;1;1;1;1;1;1
6,5000;6240;5;2;0;60;0,1656;159;4;0;0;0;0;0;0
6,6667;6400;5;2;160;60;0,1656;159;4;0;0;0;0;0;0
6,8333;6560;5;2;320;57;0,1656;159;4;0;0;0;0;0;0
7,0000;6720;5;3;0;60;0,3740;359;9;1;0;0;0;0;0
7,3750;7080;5;3;360;60;0,1240;119;3;0;0;0;0;0;0
7,5000;7200;6;1;0;57;0,4990;479;12;1;1;1;0;0;0
8,0000;7680;6;2;0;55;0,2490;239;6;0;0;0;0;0;0
8,2500;7920;6;2;240;55;0,2490;239;6;0;0;0;0;0;0
8,5000;8160;6;3;0;55;0,2490;239;6;0;0;1;0;0;0
8,7500;8400;6;3;240;52;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;7;1;0;52;0,3740;359;9;1;0;1;0;1;0
9,3750;9000;7;1;360;50;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;7;2;0;48;0,1656;159;4;1;1;1;0;0;0
9,6667;9280;7;2;160;52;0,1656;159;4;0;0;0;0;0;0
9,8333;9440;7;2;320;50;0,1656;159;4;0;0;0;0;0;0
10,0000;9600;7;3;0;48;0,4990;479;12;1;0;1;1;0;0
10,5000;10080;8;1;0;50;0,2490;239;6;0;0;0;0;0;0
10,7500;10320;8;1;240;48;0,2490;239;6;0;0;1;0;0;0
11,0000;10560;8;2;0;45;0,4990;479;12;0;0;0;0;0;0
11,5000;11040;8;3;0;45;0,7490;719;18;1;0;1;0;0;0
12,2500;11760;9;1;240;45;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;9;2;0;45;1,4990;1439;36;1;0;1;1;1;1
14,0000;13440;10;2;0;57;0,3740;359;9;0;0;0;0;0;0
14,3750;13800;10;2;360;57;0,1240;119;3;0;0;0;0;0;0
14,5000;13920;10;3;0;57;0,1656;159;4;1;1;1;0;0;0
14,6667;14080;10;3;160;64;0,1656;159;4;0;0;0;0;0;0
14,8333;14240;10;3;320;62;0,1656;159;4;0;0;0;0;0;0
15,0000;14400;11;1;0;60;0,1656;159;4;1;1;1;0;0;0
15,1667;14560;11;1;160;64;0,1656;159;4;0;0;0;0;0;0
15,3333;14720;11;1;320;62;0,1656;159;4;0;0;0;0;0;0
15,5000;14880;11;2;0;60;0,4990;479;12;1;0;1;1;0;0
16,0000;15360;11;3;0;64;0,1240;119;3;0;0;0;0;0;0
16,1250;15480;11;3;120;60;0,3740;359;9;1;0;0;0;0;0
16,5000;15840;12;1;0;60;0,1240;119;3;0;0;0;0;0;0
16,6250;15960;12;1;120;57;0,3740;359;9;0;0;1;0;1;0
17,0000;16320;12;2;0;60;0,3740;359;9;0;0;0;0;0;0
17,3750;16680;12;2;360;60;0,1240;119;3;0;0;0;0;0;0
17,5000;16800;12;3;0;57;0,4990;479;12;1;1;1;1;0;0
18,0000;17280;13;1;0;55;0,2490;239;6;0;0;0;0;0;0
18,2500;17520;13;1;240;55;0,2490;239;6;0;0;0;0;0;0
18,5000;17760;13;2;0;55;0,2490;239;6;1;0;1;0;0;0
18,7500;18000;13;2;240;52;0,2490;239;6;0;0;0;0;0;0
19,0000;18240;13;3;0;52;0,2490;239;6;0;0;0;0;0;0
19,2500;18480;13;3;240;52;0,7490;719;18;1;1;1;1;1;0
20,0000;19200;14;2;0;60;0,1656;159;4;0;0;0;0;0;0
20,1667;19360;14;2;160;60;0,1656;159;4;0;0;0;0;0;0
20,3333;19520;14;2;320;57;0,1656;159;4;0;0;0;0;0;0
20,5000;19680;14;3;0;60;0,3740;359;9;1;0;0;0;0;0
20,8750;20040;14;3;360;60;0,1240;119;3;0;0;0;0;0;0
21,0000;20160;15;1;0;57;0,4990;479;12;1;1;1;0;1;0
21,5000;20640;15;2;0;55;0,2490;239;6;0;0;0;0;0;0
21,7500;20880;15;2;240;55;0,2490;239;6;0;0;0;0;0;0
22,0000;21120;15;3;0;55;0,2490;239;6;0;0;1;0;0;0
22,2500;21360;15;3;240;52;0,2490;239;6;0;0;0;0;0;0
22,5000;21600;16;1;0;52;0,3740;359;9;1;0;1;0;0;0
22,8750;21960;16;1;360;50;0,1240;119;3;0;0;0;0;0;0
23,0000;22080;16;2;0;48;0,1656;159;4;1;0;1;0;0;0
23,1667;22240;16;2;160;52;0,1656;159;4;0;0;0;0;0;0
23,3333;22400;16;2;320;50;0,1656;159;4;0;0;0;0;0;0
23,5000;22560;16;3;0;48;0,4990;479;12;1;0;1;1;1;0
24,0000;23040;17;1;0;50;0,2490;239;6;0;0;0;0;0;0
24,2500;23280;17;1;240;48;0,2490;239;6;0;0;1;0;0;0
24,5000;23520;17;2;0;45;0,3740;359;9;1;1;0;0;0;0
24,8750;23880;17;2;360;45;0,1240;119;3;0;0;0;0;0;0
