Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;66;0,3740;359;18;0;0;1;0;0;0
0,3750;360;1;1;360;64;0,1240;119;6;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,4990;479;24;1;1;1;1;1;1
1,0000;960;2;1;0;66;0,3740;359;18;0;0;0;0;0;0
1,3750;1320;2;1;360;64;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;2;2;0;62;0,4990;479;24;1;0;1;0;0;1
2,0000;1920;3;1;0;62;0,2490;239;12;0;0;0;0;0;0
2,2500;2160;3;1;240;62;0,2490;239;12;0;0;0;0;0;0
2,5000;2400;3;2;0;62;0,2490;239;12;0;0;0;0;0;0
2,7500;2640;3;2;240;59;0,2490;239;12;0;0;0;0;0;0
3,0000;2880;4;1;0;62;0,3740;359;18;1;1;0;0;0;0
3,3750;3240;4;1;360;62;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;4;2;0;59;0,9990;959;48;1;1;1;1;1;1
4,5000;4320;5;2;0;59;0,4990;479;24;0;0;0;0;0;1
5,0000;4800;6;1;0;66;0,3740;359;18;0;0;0;0;0;0
5,3750;5160;6;1;360;64;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;6;2;0;62;0,4990;479;24;1;1;1;0;0;1
6,0000;5760;7;1;0;66;0,3740;359;18;0;0;0;0;0;0
6,3750;6120;7;1;360;64;0,1240;119;6;0;0;0;0;0;0
6,5000;6240;7;2;0;62;0,4990;479;24;1;0;1;0;1;1
7,0000;6720;8;1;0;62;0,2490;239;12;0;0;0;0;0;0
7,2500;6960;8;1;240;62;0,2490;239;12;0;0;0;0;0;0
7,5000;7200;8;2;0;62;0,2490;239;12;0;0;0;0;0;0
7,7500;7440;8;2;240;59;0,2490;239;12;0;0;0;0;0;0
8,0000;7680;9;1;0;62;0,3740;359;18;1;0;0;0;0;0
8,3750;8040;9;1;360;62;0,1240;119;6;0;0;0;0;0;0
8,5000;8160;9;2;0;59;0,4990;479;24;1;1;1;1;1;1
9,0000;8640;10;1;0;57;0,1240;119;6;0;0;0;0;0;0
9,1250;8760;10;1;120;57;0,3740;359;18;1;0;1;0;0;0
9,5000;9120;10;2;0;57;0,1240;119;6;0;0;0;0;0;0
9,6250;9240;10;2;120;54;0,3740;359;18;0;0;0;0;0;0
10,0000;9600;11;1;0;54;0,4990;479;24;1;1;1;1;0;1
10,5000;10080;11;2;0;62;0,1865;179;9;0;0;0;0;0;0
10,6875;10260;11;2;180;62;0,0615;59;3;1;0;0;0;0;0
10,7500;10320;11;2;240;59;0,2490;239;12;0;0;1;0;0;0
11,0000;10560;12;1;0;62;0,4990;479;24;0;0;0;0;0;1
11,5000;11040;12;2;0;59;0,4990;479;24;1;0;1;1;1;1
12,0000;11520;13;1;0;57;0,1240;119;6;0;0;0;0;0;0
12,1250;11640;13;1;120;57;0,3740;359;18;1;1;1;0;0;0
12,5000;12000;13;2;0;57;0,1240;119;6;0;0;0;0;0;0
12,6250;12120;13;2;120;54;0,3740;359;18;0;0;0;0;0;0
13,0000;12480;14;1;0;54;0,3740;359;18;1;0;1;0;0;0
13,3750;12840;14;1;360;52;0,1240;119;6;0;0;0;0;0;0
