Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,7490;719;3;0;0;1;1;0;0
0,7500;720;1;2;240;59;0,2490;239;1;1;0;0;0;0;0
1,0000;960;2;1;0;62;0,4990;479;2;0;0;1;0;0;0
1,5000;1440;2;2;0;64;0,4990;479;2;0;0;0;0;0;0
2,0000;1920;3;1;0;64;0,9990;959;4;1;1;1;1;1;0
3,0000;2880;4;1;0;59;0,7490;719;3;0;0;0;0;0;0
3,7500;3600;4;2;240;62;0,2490;239;1;0;0;0;0;0;0
4,0000;3840;5;1;0;66;0,7490;719;3;1;0;1;0;0;0
4,7500;4560;5;2;240;64;0,2490;239;1;0;0;0;0;0;0
5,0000;4800;6;1;0;62;0,4990;479;2;0;0;1;0;0;0
5,5000;5280;6;2;0;64;0,4990;479;2;0;0;0;0;0;0
6,0000;5760;7;1;0;64;0,9990;959;4;1;1;1;1;0;0
7,0000;6720;8;1;0;69;0,4990;479;2;0;0;0;0;0;0
7,5000;7200;8;2;0;71;0,2490;239;1;0;0;0;0;0;0
7,7500;7440;8;2;240;74;0,2490;239;1;0;0;0;0;0;0
8,0000;7680;9;1;0;69;0,9990;959;4;1;0;1;0;1;0
9,0000;8640;10;1;0;66;0,4990;479;2;0;0;0;0;0;0
9,5000;9120;10;2;0;69;0,2490;239;1;0;0;0;0;0;0
9,7500;9360;10;2;240;71;0,2490;239;1;0;0;1;0;0;0
10,0000;9600;11;1;0;66;0,4990;479;2;1;1;0;0;0;0
10,5000;10080;11;2;0;66;0,2490;239;1;0;0;0;0;0;0
10,7500;10320;11;2;240;64;0,2490;239;1;0;0;0;0;0;0
11,0000;10560;12;1;0;62;0,4990;479;2;1;0;1;0;0;0
11,5000;11040;12;2;0;64;0,2490;239;1;0;0;0;0;0;0
11,7500;11280;12;2;240;66;0,2490;239;1;0;0;0;0;0;0
12,0000;11520;13;1;0;57;0,9990;959;4;1;1;1;1;1;0
13,0000;12480;14;1;0;62;0,7490;719;3;0;0;0;0;0;0
13,7500;13200;14;2;240;59;0,2490;239;1;0;0;0;0;0;0
14,0000;13440;15;1;0;59;0,4990;479;2;0;0;0;0;0;0
14,5000;13920;15;2;0;59;0,4990;479;2;0;0;0;0;0;0
15,0000;14400;16;1;0;57;0,4990;479;2;0;0;0;0;0;0
15,5000;14880;16;2;0;59;0,4990;479;2;0;0;0;0;0;0
16,0000;15360;17;1;0;59;0,9990;959;4;0;0;0;0;1;0
17,0000;16320;18;1;0;59;0,7490;719;3;0;0;1;0;0;0
17,7500;17040;18;2;240;62;0,2490;239;1;0;0;0;0;0;0
18,0000;17280;19;1;0;66;0,7490;719;3;1;1;1;1;0;0
18,7500;18000;19;2;240;64;0,2490;239;1;0;0;0;0;0;0
19,0000;18240;20;1;0;62;0,4990;479;2;0;0;1;0;0;0
19,5000;18720;20;2;0;64;0,4990;479;2;0;0;0;0;0;0
20,0000;19200;21;1;0;64;0,9990;959;4;0;0;0;0;1;0
21,0000;20160;22;1;0;64;0,7490;719;3;1;0;1;1;0;0
21,7500;20880;22;2;240;62;0,2490;239;1;0;0;0;0;0;0
22,0000;21120;23;1;0;59;0,4990;479;2;0;0;1;0;0;0
22,5000;21600;23;2;0;62;0,4990;479;2;0;0;0;0;0;0
23,0000;22080;24;1;0;62;0,9990;959;4;1;1;1;0;0;0
24,0000;23040;25;1;0;59;0,4990;479;2;0;0;0;0;0;0
24,5000;23520;25;2;0;71;1,4990;1439;6;0;0;1;1;1;0
26,0000;24960;27;1;0;59;0,4990;479;2;0;0;0;0;0;0
26,5000;25440;27;2;0;71;1,4990;1439;6;0;0;0;0;0;0
28,0000;26880;29;1;0;71;0,7490;719;3;1;1;0;0;0;0
28,7500;27600;29;2;240;69;0,2490;239;1;0;0;0;0;0;0
29,0000;27840;30;1;0;71;0,4990;479;2;1;0;1;0;0;0
29,5000;28320;30;2;0;69;0,2490;239;1;0;0;0;0;0;0
29,7500;28560;30;2;240;71;0,2490;239;1;1;0;1;1;0;0
30,0000;28800;31;1;0;66;0,9990;959;4;0;0;0;0;0;0
31,0000;29760;32;1;0;66;0,9990;959;4;0;0;0;0;1;0
32,0000;30720;33;1;0;64;0,7490;719;3;0;1;1;0;0;0
32,7500;31440;33;2;240;62;0,2490;239;1;0;0;0;0;0;0
33,0000;31680;34;1;0;59;0,4990;479;2;0;0;1;0;0;0
33,5000;32160;34;2;0;62;0,4990;479;2;0;0;0;0;0;0
34,0000;32640;35;1;0;62;0,9990;959;4;0;0;0;0;0;0
35,0000;33600;36;1;0;62;0,9990;959;4;0;0;0;0;0;0
36,0000;34560;37;1;0;66;1,4990;1439;6;1;0;1;0;0;0
37,5000;36000;38;2;0;62;0,4990;479;2;0;0;0;0;0;0
38,0000;36480;39;1;0;64;0,9990;959;4;0;0;0;0;0;0
39,0000;37440;40;1;0;66;1,4990;1439;6;1;1;1;1;1;0
40,5000;38880;41;2;0;62;0,4990;479;2;0;0;0;0;0;0
41,0000;39360;42;1;0;64;0,9990;959;4;0;0;0;0;0;0
42,0000;40320;43;1;0;66;0,9990;959;4;1;0;1;0;0;0
43,0000;41280;44;1;0;62;0,4990;479;2;0;0;0;0;0;0
43,5000;41760;44;2;0;64;0,4990;479;2;0;0;0;0;0;0
44,0000;42240;45;1;0;59;0,9990;959;4;1;1;1;0;0;0
45,0000;43200;46;1;0;57;0,4990;479;2;0;0;0;0;0;0
45,5000;43680;46;2;0;59;1,4990;1439;6;0;0;1;0;0;0
47,0000;45120;48;1;0;59;0,9990;959;4;1;0;0;0;0;0
48,0000;46080;49;1;0;57;0,4990;479;2;0;0;0;0;0;0
48,5000;46560;49;2;0;59;1,4990;1439;6;0;1;1;1;1;0
50,0000;48000;51;1;0;71;0,7490;719;3;0;0;0;0;0;0
50,7500;48720;51;2;240;74;0,2490;239;1;0;0;0;0;0;0
51,0000;48960;52;1;0;76;0,4990;479;2;0;0;0;0;0;0
51,5000;49440;52;2;0;74;0,4990;479;2;0;0;0;0;0;0
52,0000;49920;53;1;0;78;0,4990;479;2;0;0;0;0;0;0
52,5000;50400;53;2;0;76;0,4990;479;2;0;0;0;0;0;0
53,0000;50880;54;1;0;76;0,9990;959;4;1;1;1;1;0;0
54,0000;51840;55;1;0;81;0,4990;479;2;0;0;0;0;0;0
54,5000;52320;55;2;0;83;0,2490;239;1;0;0;0;0;0;0
54,7500;52560;55;2;240;86;0,2490;239;1;0;0;0;0;0;0
55,0000;52800;56;1;0;81;0,9990;959;4;1;0;1;0;1;0
56,0000;53760;57;1;0;78;0,4990;479;2;0;0;0;0;0;0
56,5000;54240;57;2;0;81;0,2490;239;1;0;0;0;0;0;0
56,7500;54480;57;2;240;83;0,2490;239;1;0;0;0;0;0;0
57,0000;54720;58;1;0;78;0,7490;719;3;1;0;0;0;0;0
57,7500;55440;58;2;240;76;0,2490;239;1;0;0;1;1;0;0
58,0000;55680;59;1;0;62;0,4990;479;2;0;0;0;0;0;0
58,5000;56160;59;2;0;64;0,4990;479;2;0;0;1;0;0;0
59,0000;56640;60;1;0;76;0,9990;959;4;1;1;0;0;1;0
60,0000;57600;61;1;0;66;0,4990;479;2;0;0;0;0;0;0
60,5000;58080;61;2;0;74;0,4990;479;2;1;0;0;0;0;0
61,0000;58560;62;1;0;76;0,2490;239;1;0;0;0;0;0;0
61,2500;58800;62;1;240;78;0,2490;239;1;1;1;1;0;0;0
61,5000;59040;62;2;0;74;0,4990;479;2;0;0;0;0;0;0
62,0000;59520;63;1;0;71;0,4990;479;2;1;0;1;0;0;0
62,5000;60000;63;2;0;74;0,2490;239;1;0;0;0;0;0;0
62,7500;60240;63;2;240;76;0,2490;239;1;0;0;0;0;0;0
63,0000;60480;64;1;0;71;0,7490;719;3;1;1;1;0;0;0
63,7500;61200;64;2;240;69;0,2490;239;1;0;0;0;0;0;0
64,0000;61440;65;1;0;57;0,4990;479;2;1;1;1;0;0;0
64,5000;61920;65;2;0;69;0,2490;239;1;0;0;0;0;0;0
64,7500;62160;65;2;240;71;0,2490;239;1;0;0;0;0;0;0
65,0000;62400;66;1;0;57;0,9990;959;4;1;1;1;1;1;0
66,0000;63360;67;1;0;74;0,7490;719;3;0;0;0;0;0;0
66,7500;64080;67;2;240;76;0,2490;239;1;0;0;0;0;0;0
67,0000;64320;68;1;0;78;0,4990;479;2;0;0;1;0;0;0
67,5000;64800;68;2;0;81;0,4990;479;2;0;0;0;0;0;0
68,0000;65280;69;1;0;81;0,2490;239;1;0;0;0;0;0;0
68,2500;65520;69;1;240;78;0,4990;479;2;1;1;0;0;0;0
68,7500;66000;69;2;240;76;0,2490;239;1;0;0;1;1;0;0
69,0000;66240;70;1;0;62;0,4990;479;2;0;0;0;0;0;0
69,5000;66720;70;2;0;64;0,4990;479;2;0;0;0;0;0;0
70,0000;67200;71;1;0;76;0,9990;959;4;1;0;1;0;1;0
71,0000;68160;72;1;0;64;0,7490;719;3;0;0;0;0;0;0
71,7500;68880;72;2;240;62;0,2490;239;1;0;0;0;0;0;0
72,0000;69120;73;1;0;59;0,4990;479;2;0;0;1;0;0;0
72,5000;69600;73;2;0;62;0,4990;479;2;0;0;0;0;0;0
73,0000;70080;74;1;0;62;0,9990;959;4;1;1;1;0;0;0
74,0000;71040;75;1;0;59;0,4990;479;2;0;0;0;0;0;0
74,5000;71520;75;2;0;71;1,4990;1439;6;0;0;1;1;0;0
76,0000;72960;77;1;0;59;0,4990;479;2;0;0;0;0;0;0
76,5000;73440;77;2;0;71;1,4990;1439;6;0;0;0;0;1;0
78,0000;74880;79;1;0;71;0,7490;719;3;1;1;0;0;0;0
78,7500;75600;79;2;240;69;0,2490;239;1;0;0;0;0;0;0
