Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,4990;479;2;1;0;1;0;0;0
0,5000;480;1;2;0;72;0,4990;479;2;0;0;0;0;0;0
1,0000;960;1;3;0;74;0,4990;479;2;0;0;0;0;0;0
1,5000;1440;2;1;0;72;0,4990;479;2;0;0;0;0;0;0
2,0000;1920;2;2;0;74;0,4990;479;2;0;0;0;0;0;0
2,5000;2400;2;3;0;71;0,4990;479;2;0;0;0;0;0;0
3,0000;2880;3;1;0;72;0,9990;959;4;0;0;0;0;0;0
4,0000;3840;3;3;0;67;0,4990;479;2;1;0;1;1;1;0
5,5000;5280;4;3;0;72;0,4990;479;2;0;0;0;0;0;0
6,0000;5760;5;1;0;71;0,9990;959;4;1;1;1;0;0;0
7,0000;6720;5;3;0;66;1,4990;1439;6;0;0;0;0;0;0
8,5000;8160;6;3;0;67;1,4990;1439;6;1;1;1;1;1;1
