Signature: 7/16, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,1240;119;1;0;0;0;0;0;0
0,1250;120;1;1;120;71;0,4990;479;4;1;0;1;1;0;0
0,6250;600;1;2;120;67;0,3740;359;3;0;0;0;0;0;0
1,0000;960;1;3;0;69;0,1240;119;1;0;0;0;0;0;0
1,1250;1080;1;3;120;71;0,4990;479;4;1;1;1;0;0;0
1,6250;1560;1;4;120;74;0,2490;239;2;0;0;0;0;0;0
1,8750;1800;1;4;360;71;0,2490;239;2;0;0;0;0;0;0
2,1250;2040;1;5;120;71;0,2490;239;2;1;0;1;0;0;0
2,3750;2280;1;5;360;69;0,2490;239;2;0;0;0;0;0;0
2,6250;2520;1;6;120;69;0,2490;239;2;0;0;1;0;0;0
2,8750;2760;1;6;360;67;0,2490;239;2;0;0;0;0;0;0
3,1250;3000;1;7;120;66;0,4990;479;4;1;0;1;1;1;0
4,0000;3840;2;2;0;67;0,1240;119;1;0;0;0;0;0;0
4,1250;3960;2;2;120;69;0,4990;479;4;1;1;1;0;0;0
4,6250;4440;2;3;120;66;0,3740;359;3;0;0;0;0;0;0
5,0000;4800;2;4;0;67;0,1240;119;1;0;0;0;0;0;0
5,1250;4920;2;4;120;69;0,4990;479;4;1;0;1;0;0;0
5,6250;5400;2;5;120;71;0,2490;239;2;0;0;0;0;0;0
5,8750;5640;2;5;360;67;0,2490;239;2;0;0;0;0;0;0
6,1250;5880;2;6;120;64;0,9990;959;8;0;0;0;0;0;0
7,1250;6840;3;1;120;62;0,4990;479;4;1;0;1;0;1;0
8,0000;7680;3;3;0;67;0,1240;119;1;0;0;0;0;0;0
8,1250;7800;3;3;120;67;0,4990;479;4;1;1;1;1;0;0
9,0000;8640;3;5;0;62;0,1240;119;1;0;0;0;0;0;0
9,1250;8760;3;5;120;62;0,4990;479;4;1;0;1;0;0;0
10,0000;9600;3;7;0;59;0,1240;119;1;0;0;0;0;0;0
10,1250;9720;3;7;120;64;0,4990;479;4;0;0;0;0;0;0
10,6250;10200;4;1;120;62;0,3740;359;3;0;0;0;0;0;0
11,0000;10560;4;2;0;60;0,1240;119;1;0;0;0;0;0;0
11,1250;10680;4;2;120;62;0,4990;479;4;1;0;1;0;1;0
12,0000;11520;4;4;0;62;0,1240;119;1;0;0;0;0;0;0
12,1250;11640;4;4;120;67;0,3740;359;3;1;0;0;0;0;0
12,5000;12000;4;5;0;66;0,1240;119;1;0;0;0;0;0;0
12,6250;12120;4;5;120;67;0,3740;359;3;1;1;1;0;0;0
13,0000;12480;4;6;0;69;0,1240;119;1;0;0;0;0;0;0
13,1250;12600;4;6;120;71;0,4990;479;4;1;1;1;0;0;0
13,6250;13080;4;7;120;74;0,2490;239;2;0;0;0;0;0;0
13,8750;13320;4;7;360;71;0,2490;239;2;1;0;0;0;0;0
14,1250;13560;5;1;120;69;0,9990;959;8;0;0;1;1;0;0
15,1250;14520;5;3;120;67;0,4990;479;4;1;1;1;1;1;1
