Signature: 5/2, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;69;0,9990;959;4;0;0;0;0;0;0
1,0000;960;1;3;0;69;2,9990;2879;12;0;0;1;1;0;1
4,0000;3840;2;4;0;76;2,9990;2879;12;0;0;0;0;0;1
7,0000;6720;3;5;0;79;1,9990;1919;8;0;0;1;0;0;1
9,0000;8640;4;4;0;77;0,9990;959;4;0;1;0;0;0;0
10,0000;9600;5;1;0;76;1,9990;1919;8;0;1;1;1;0;1
12,0000;11520;5;5;0;74;0,9990;959;4;0;0;0;0;0;0
13,0000;12480;6;2;0;72;1,9990;1919;8;0;0;1;0;1;1
15,0000;14400;7;1;0;71;1,9990;1919;8;0;0;0;0;0;1
17,0000;16320;7;5;0;71;1,9990;1919;8;0;0;0;0;0;1
19,0000;18240;8;4;0;69;1,9990;1919;8;0;0;1;1;0;1
21,0000;20160;9;3;0;64;0,9990;959;4;0;1;0;0;0;0
22,0000;21120;9;5;0;67;1,9990;1919;8;0;0;1;0;0;1
24,0000;23040;10;4;0;65;0,9990;959;4;0;0;0;0;0;0
25,0000;24000;11;1;0;64;2,9990;2879;12;1;1;1;1;1;1
30,0000;28800;13;1;0;69;0,9990;959;4;0;0;0;0;0;0
31,0000;29760;13;3;0;69;2,9990;2879;12;0;0;1;0;0;1
34,0000;32640;14;4;0;76;2,9990;2879;12;0;0;0;0;0;1
37,0000;35520;15;5;0;79;1,9990;1919;8;0;0;1;0;0;1
39,0000;37440;16;4;0;77;0,9990;959;4;0;0;0;0;0;0
40,0000;38400;17;1;0;76;1,9990;1919;8;0;1;1;1;0;1
42,0000;40320;17;5;0;74;0,9990;959;4;0;0;0;0;0;0
43,0000;41280;18;2;0;72;1,9990;1919;8;0;0;1;0;0;1
45,0000;43200;19;1;0;71;1,9990;1919;8;0;0;0;0;0;1
47,0000;45120;19;5;0;71;1,9990;1919;8;0;0;0;0;0;1
49,0000;47040;20;4;0;69;1,9990;1919;8;0;0;1;1;0;1
51,0000;48960;21;3;0;64;0,9990;959;4;0;1;0;0;0;0
52,0000;49920;21;5;0;67;1,9990;1919;8;0;0;1;0;0;1
54,0000;51840;22;4;0;65;0,9990;959;4;0;0;0;0;0;0
55,0000;52800;23;1;0;64;2,9990;2879;12;1;1;1;1;1;1
60,0000;57600;25;1;0;64;0,9990;959;4;0;0;0;0;0;0
61,0000;58560;25;3;0;69;1,9990;1919;8;0;0;0;0;0;1
63,0000;60480;26;2;0;71;0,9990;959;4;0;0;0;0;0;0
64,0000;61440;26;4;0;72;1,9990;1919;8;0;1;1;0;0;1
66,0000;63360;27;3;0;74;0,9990;959;4;0;1;0;0;0;0
67,0000;64320;27;5;0;71;1,9990;1919;8;0;1;1;1;0;1
70,0000;67200;29;1;0;69;0,9990;959;4;0;0;0;0;0;0
71,0000;68160;29;3;0;71;0,9990;959;4;0;0;0;0;0;0
72,0000;69120;29;5;0;72;0,9990;959;4;1;0;0;0;0;0
73,0000;70080;30;2;0;74;2,9990;2879;12;0;0;1;0;1;1
76,0000;72960;31;3;0;77;2,9990;2879;12;0;0;0;0;0;1
79,0000;75840;32;4;0;76;2,9990;2879;12;0;0;1;1;0;1
82,0000;78720;33;5;0;69;1,9990;1919;8;0;0;0;0;0;1
84,0000;80640;34;4;0;69;0,9990;959;4;1;1;1;0;0;0
85,0000;81600;35;1;0;76;1,9990;1919;8;0;0;0;0;0;1
87,0000;83520;35;5;0;74;0,9990;959;4;0;0;0;0;0;0
88,0000;84480;36;2;0;72;1,9990;1919;8;0;1;1;0;0;1
90,0000;86400;37;1;0;71;0,9990;959;4;0;0;0;0;0;0
91,0000;87360;37;3;0;69;1,9990;1919;8;1;1;1;1;1;1
94,0000;90240;38;4;0;71;1,9990;1919;8;0;0;0;0;0;1
96,0000;92160;39;3;0;69;0,9990;959;4;1;0;0;0;0;0
97,0000;93120;39;5;0;67;2,9990;2879;12;0;0;1;0;0;1
100,0000;96000;41;1;0;71;2,9990;2879;12;0;0;0;0;0;1
103,0000;98880;42;2;0;66;2,9990;2879;12;0;0;0;0;0;1
106,0000;101760;43;3;0;64;2,9990;2879;12;0;0;1;0;0;1
109,0000;104640;44;4;0;69;1,9990;1919;8;0;0;0;0;0;1
111,0000;106560;45;3;0;72;0,9990;959;4;0;1;0;0;0;0
112,0000;107520;45;5;0;71;1,9990;1919;8;0;0;1;0;0;1
114,0000;109440;46;4;0;69;0,9990;959;4;0;0;0;0;0;0
115,0000;110400;47;1;0;71;3,9990;3839;16;1;1;1;1;1;1
119,0000;114240;48;4;0;76;1,9990;1919;8;0;0;0;0;0;1
121,0000;116160;49;3;0;76;1,9990;1919;8;1;0;1;0;0;1
123,0000;118080;50;2;0;74;0,9990;959;4;0;0;0;0;0;0
124,0000;119040;50;4;0;72;0,9990;959;4;0;0;1;0;0;0
125,0000;120000;51;1;0;69;0,9990;959;4;0;0;0;0;0;0
126,0000;120960;51;3;0;71;0,9990;959;4;0;0;0;0;0;0
127,0000;121920;51;5;0;69;3,9990;3839;16;1;1;1;1;1;1
