Signature: 6/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;72;0,2490;239;1;0;0;0;0;0;0
0,2500;240;1;1;240;72;0,9990;959;4;1;1;1;1;0;1
1,2500;1200;1;3;240;67;0,4990;479;2;0;0;0;0;0;0
1,7500;1680;1;4;240;65;0,2490;239;1;0;0;0;0;0;0
2,0000;1920;1;5;0;67;0,4990;479;2;1;0;0;0;0;0
2,5000;2400;1;6;0;68;0,2490;239;1;0;0;0;0;0;0
2,7500;2640;1;6;240;71;0,4990;479;2;0;0;0;0;0;0
3,2500;3120;2;1;240;68;0,4990;479;2;0;0;0;0;0;0
3,7500;3600;2;2;240;67;1,2490;1199;5;0;1;1;1;1;1
5,5000;5280;2;6;0;67;0,4990;479;2;0;0;0;0;0;0
6,0000;5760;3;1;0;68;0,2490;239;1;0;0;0;0;0;0
6,2500;6000;3;1;240;68;0,2490;239;1;0;0;1;0;0;0
6,5000;6240;3;2;0;65;0,7490;719;3;1;1;0;0;0;0
7,2500;6960;3;3;240;67;0,4990;479;2;0;0;0;0;0;0
7,7500;7440;3;4;240;68;0,2490;239;1;0;0;0;0;0;0
8,0000;7680;3;5;0;71;0,2490;239;1;0;0;0;0;0;0
8,2500;7920;3;5;240;68;0,2490;239;1;0;0;0;0;0;0
8,5000;8160;3;6;0;65;0,4990;479;2;0;0;0;0;0;0
9,0000;8640;4;1;0;67;1,2490;1199;5;0;0;1;1;1;1
10,7500;10320;4;4;240;67;0,4990;479;2;0;0;0;0;0;0
11,2500;10800;4;5;240;68;0,2490;239;1;0;0;0;0;0;0
11,5000;11040;4;6;0;68;0,2490;239;1;0;0;1;0;0;0
11,7500;11280;4;6;240;65;0,7490;719;3;1;1;0;0;0;0
12,5000;12000;5;2;0;67;0,4990;479;2;0;0;0;0;0;0
13,0000;12480;5;3;0;68;0,2490;239;1;0;0;0;0;0;0
13,2500;12720;5;3;240;71;0,2490;239;1;0;0;0;0;0;0
13,5000;12960;5;4;0;68;0,2490;239;1;1;0;0;0;0;0
13,7500;13200;5;4;240;65;0,4990;479;2;0;0;1;0;0;0
14,2500;13680;5;5;240;67;1,2490;1199;5;1;1;1;1;1;1
