Signature: 5/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;64;0,2490;239;2;0;0;0;0;0;0
0,5000;480;1;2;0;66;0,2490;239;2;0;0;0;0;0;0
0,7500;720;1;2;240;67;0,7490;719;6;1;1;1;0;0;0
1,5000;1440;1;4;0;67;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;1;4;240;69;0,3740;359;3;1;0;0;0;0;0
2,1250;2040;1;5;120;67;0,1240;119;1;0;0;0;0;0;0
2,2500;2160;1;5;240;66;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;2;1;0;67;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;2;1;240;69;0,9990;959;8;1;1;1;1;1;1
4,0000;3840;2;4;0;62;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;2;4;240;62;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;2;5;0;62;0,2490;239;2;0;0;1;0;0;0
4,7500;4560;2;5;240;69;0,7490;719;6;1;0;0;0;0;0
5,5000;5280;3;2;0;69;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;3;2;240;71;0,3740;359;3;1;0;0;0;0;0
6,1250;5880;3;3;120;69;0,1240;119;1;0;0;0;0;0;0
6,2500;6000;3;3;240;67;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;3;4;0;69;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;3;4;240;71;0,9990;959;8;1;1;1;1;1;1
8,0000;7680;4;2;0;62;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;4;2;240;64;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;4;3;0;66;0,2490;239;2;1;0;1;0;0;0
8,7500;8400;4;3;240;67;0,4990;479;4;0;0;0;0;0;0
9,2500;8880;4;4;240;67;0,4990;479;4;0;0;0;0;0;0
9,7500;9360;4;5;240;66;0,3740;359;3;1;0;1;0;0;0
10,1250;9720;5;1;120;67;0,1240;119;1;0;0;0;0;0;0
10,2500;9840;5;1;240;69;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;5;2;0;71;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;5;2;240;72;0,9990;959;8;1;1;1;1;1;1
12,0000;11520;5;5;0;64;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;5;5;240;72;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;6;1;0;69;0,2490;239;2;0;0;0;0;0;0
12,7500;12240;6;1;240;67;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;6;2;0;62;0,2490;239;2;0;0;1;0;0;0
13,2500;12720;6;2;240;71;0,9990;959;8;1;0;0;0;0;1
14,2500;13680;6;4;240;69;0,4990;479;4;0;0;0;0;0;0
14,7500;14160;6;5;240;67;0,9990;959;8;1;1;1;1;1;1
