Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,2500;240;1;1;240;86;0,1240;119;2;0;0;0;0;0;0
0,3750;360;1;1;360;89;0,1240;119;2;0;0;1;0;0;0
0,5000;480;1;2;0;82;0,2490;239;4;1;1;0;0;0;0
0,7500;720;1;2;240;81;0,1240;119;2;0;0;0;0;0;0
0,8750;840;1;2;360;79;0,1240;119;2;0;0;0;0;0;0
1,0000;960;2;1;0;79;0,2490;239;4;0;0;0;0;0;0
1,2500;1200;2;1;240;74;0,2490;239;4;0;0;1;1;0;0
1,5000;1440;2;2;0;89;0,2490;239;4;1;0;0;0;0;0
1,7500;1680;2;2;240;91;0,1240;119;2;0;0;0;0;0;0
1,8750;1800;2;2;360;94;0,1240;119;2;0;0;1;0;0;0
2,0000;1920;3;1;0;86;0,2490;239;4;1;1;0;0;1;0
2,2500;2160;3;1;240;86;0,1240;119;2;0;0;0;0;0;0
2,3750;2280;3;1;360;89;0,1240;119;2;0;0;1;0;0;0
2,5000;2400;3;2;0;82;0,2490;239;4;1;1;0;0;0;0
2,7500;2640;3;2;240;81;0,1240;119;2;0;0;0;0;0;0
2,8750;2760;3;2;360;79;0,1240;119;2;0;0;1;0;0;0
3,0000;2880;4;1;0;86;0,1240;119;2;0;0;0;0;0;0
3,1250;3000;4;1;120;89;0,1240;119;2;0;0;1;1;0;0
3,2500;3120;4;1;240;82;0,2490;239;4;1;1;0;0;1;0
3,5000;3360;4;2;0;81;0,1240;119;2;0;0;0;0;0;0
3,6250;3480;4;2;120;79;0,1240;119;2;0;0;1;0;0;0
3,7500;3600;4;2;240;74;0,1240;119;2;0;0;0;0;0;0
3,8750;3720;4;2;360;77;0,1240;119;2;0;0;0;0;0;0
4,0000;3840;5;1;0;82;0,2490;239;4;1;1;1;0;0;0
4,2500;4080;5;1;240;81;0,1240;119;2;0;0;0;0;0;0
4,3750;4200;5;1;360;79;0,1240;119;2;0;0;0;0;0;0
4,5000;4320;5;2;0;77;0,1240;119;2;0;0;0;0;0;0
4,6250;4440;5;2;120;79;0,1240;119;2;0;0;0;0;0;0
4,7500;4560;5;2;240;74;0,2490;239;4;0;1;1;1;1;0
5,0000;4800;6;1;0;86;0,2490;239;4;0;0;0;0;0;0
5,2500;5040;6;1;240;86;0,1240;119;2;0;0;1;0;0;0
5,3750;5160;6;1;360;89;0,1240;119;2;0;0;0;0;0;0
5,5000;5280;6;2;0;91;0,2490;239;4;1;0;1;1;0;0
5,7500;5520;6;2;240;86;0,1240;119;2;0;0;0;0;0;0
5,8750;5640;6;2;360;89;0,1240;119;2;0;0;1;0;0;0
6,0000;5760;7;1;0;81;0,1865;179;3;0;0;0;0;0;0
6,1875;5940;7;1;180;84;0,0615;59;1;1;1;0;0;0;0
6,2500;6000;7;1;240;79;0,1240;119;2;0;0;0;0;0;0
6,3750;6120;7;1;360;77;0,1240;119;2;0;0;0;0;0;0
6,5000;6240;7;2;0;74;0,4990;479;8;1;1;1;1;1;1
7,0000;6720;8;1;0;82;0,3740;359;6;0;0;0;0;0;0
7,3750;7080;8;1;360;79;0,1240;119;2;0;0;0;0;0;0
7,5000;7200;8;2;0;82;0,2490;239;4;1;0;0;0;0;0
7,7500;7440;8;2;240;82;0,1240;119;2;0;0;0;0;0;0
7,8750;7560;8;2;360;84;0,1240;119;2;0;0;0;0;0;0
8,0000;7680;9;1;0;86;0,1865;179;3;0;0;1;0;0;0
8,1875;7860;9;1;180;84;0,0615;59;1;1;1;0;0;0;0
8,2500;7920;9;1;240;86;0,1240;119;2;0;0;1;0;0;0
8,3750;8040;9;1;360;89;0,1240;119;2;0;0;0;0;0;0
