Signature: 2/2, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;78;0,2490;239;6;0;0;0;0;0;0
0,2500;240;1;1;240;81;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;78;1,4990;1439;36;1;1;1;1;0;1
2,0000;1920;3;1;0;90;0,3740;359;9;0;0;0;0;0;0
2,3750;2280;3;1;360;93;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;3;2;0;88;1,2490;1199;30;0;0;1;0;0;1
3,7500;3600;4;2;240;85;0,2490;239;6;1;1;0;0;0;0
4,0000;3840;5;1;0;90;1,9990;1919;48;0;0;1;0;1;1
6,0000;5760;7;1;0;88;1,4990;1439;36;1;0;0;0;0;1
7,5000;7200;8;2;0;85;0,4990;479;12;0;0;0;0;0;0
8,0000;7680;9;1;0;83;1,9990;1919;48;0;0;1;1;0;1
10,0000;9600;11;1;0;81;0,2490;239;6;0;0;0;0;0;0
10,2500;9840;11;1;240;85;0,2490;239;6;0;0;1;0;0;0
10,5000;10080;11;2;0;78;0,2490;239;6;0;0;0;0;0;0
10,7500;10320;11;2;240;81;0,2490;239;6;0;0;0;0;0;0
11,0000;10560;12;1;0;85;1,7490;1679;42;1;1;1;1;1;1
12,7500;12240;13;2;240;81;0,1240;119;3;0;0;0;0;0;0
12,8750;12360;13;2;360;78;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;14;1;0;76;0,4990;479;12;0;0;1;0;0;0
13,5000;12960;14;2;0;73;0,4990;479;12;0;0;0;0;0;0
14,0000;13440;15;1;0;73;0,2490;239;6;0;0;1;0;0;0
14,2500;13680;15;1;240;76;0,2490;239;6;0;0;0;0;0;0
14,5000;13920;15;2;0;78;1,4990;1439;36;1;0;1;0;0;1
16,0000;15360;17;1;0;78;0,2490;239;6;0;0;0;0;0;0
16,2500;15600;17;1;240;81;0,2490;239;6;0;0;0;0;0;0
16,5000;15840;17;2;0;78;1,4990;1439;36;1;1;1;1;1;1
18,0000;17280;19;1;0;90;0,3740;359;9;0;0;0;0;0;0
18,3750;17640;19;1;360;93;0,1240;119;3;0;0;1;0;0;0
18,5000;17760;19;2;0;88;0,9990;959;24;1;1;0;0;0;1
19,5000;18720;20;2;0;88;0,2490;239;6;0;0;0;0;0;0
19,7500;18960;20;2;240;85;0,2490;239;6;0;0;0;0;0;0
20,0000;19200;21;1;0;85;0,2490;239;6;0;0;1;0;0;0
20,2500;19440;21;1;240;88;0,2490;239;6;1;0;0;0;0;0
20,5000;19680;21;2;0;90;1,4990;1439;36;0;0;0;0;1;1
22,0000;21120;23;1;0;88;1,4990;1439;36;1;0;1;1;0;1
23,5000;22560;24;2;0;85;0,4990;479;12;0;0;0;0;0;0
24,0000;23040;25;1;0;85;0,4990;479;12;0;0;0;0;0;0
24,5000;23520;25;2;0;85;0,4990;479;12;1;1;1;0;0;0
25,0000;24000;26;1;0;81;0,1240;119;3;0;0;0;0;0;0
