Signature: 6/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;72;0,4990;479;4;1;0;1;1;0;0
0,5000;480;1;2;0;72;0,2490;239;2;0;0;0;0;0;0
0,7500;720;1;2;240;72;0,2490;239;2;0;0;1;0;0;0
1,0000;960;1;3;0;74;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;1;3;240;76;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;1;4;0;77;0,4990;479;4;1;1;1;0;0;0
2,0000;1920;1;5;0;72;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;1;5;240;69;0,4990;479;4;1;0;0;0;1;0
2,7500;2640;1;6;240;65;0,2490;239;2;0;0;1;1;0;0
3,0000;2880;2;1;0;72;0,4990;479;4;1;0;0;0;0;0
3,5000;3360;2;2;0;72;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;2;2;240;72;0,2490;239;2;0;0;1;0;0;0
4,0000;3840;2;3;0;74;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;2;3;240;76;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;2;4;0;77;0,4990;479;4;1;1;1;0;0;0
5,0000;4800;2;5;0;72;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;2;5;240;69;0,4990;479;4;1;0;0;0;1;0
5,7500;5520;2;6;240;65;0,2490;239;2;0;0;1;1;0;0
6,0000;5760;3;1;0;74;0,4990;479;4;1;0;0;0;0;0
6,5000;6240;3;2;0;74;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;3;2;240;77;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;3;3;0;76;0,2490;239;2;0;0;1;0;0;0
7,2500;6960;3;3;240;74;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;3;4;0;74;0,3740;359;3;1;1;1;0;0;0
7,8750;7560;3;4;360;72;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;3;5;0;72;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;3;5;240;72;0,7490;719;6;1;1;1;1;1;0
9,0000;8640;4;1;0;70;0,3740;359;3;0;0;0;0;0;0
9,3750;9000;4;1;360;70;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;4;2;0;70;0,2490;239;2;0;0;1;0;0;0
9,7500;9360;4;2;240;74;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;4;3;0;72;0,2490;239;2;0;0;1;0;0;0
10,2500;9840;4;3;240;70;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;4;4;0;70;0,2490;239;2;1;0;1;0;0;0
10,7500;10320;4;4;240;69;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;4;5;0;69;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;4;5;240;69;0,7490;719;6;1;0;1;1;1;0
12,0000;11520;5;1;0;70;0,3740;359;3;0;0;0;0;0;0
12,3750;11880;5;1;360;69;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;5;2;0;67;0,2490;239;2;0;0;0;0;0;0
12,7500;12240;5;2;240;65;0,3740;359;3;1;1;1;0;0;0
13,1250;12600;5;3;120;69;0,1240;119;1;0;0;0;0;0;0
13,2500;12720;5;3;240;69;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;5;4;0;72;0,7490;719;6;1;0;1;1;0;0
14,2500;13680;5;5;240;72;0,3740;359;3;0;0;0;0;0;0
14,6250;14040;5;6;120;74;0,1240;119;1;0;0;0;0;0;0
14,7500;14160;5;6;240;76;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;6;1;0;77;0,7490;719;6;0;0;1;0;1;0
15,7500;15120;6;2;240;74;0,7490;719;6;0;0;0;0;0;0
16,5000;15840;6;4;0;72;0,3740;359;3;1;1;1;1;0;0
16,8750;16200;6;4;360;69;0,1240;119;1;0;0;0;0;0;0
17,0000;16320;6;5;0;69;0,2490;239;2;0;0;1;0;0;0
17,2500;16560;6;5;240;72;0,3740;359;3;1;1;0;0;0;0
17,6250;16920;6;6;120;70;0,1240;119;1;0;0;0;0;0;0
17,7500;17040;6;6;240;67;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;7;1;0;65;0,7490;719;6;1;1;1;1;1;1
