Signature: 6/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;69;0,7490;719;6;1;0;1;0;0;0
0,7500;720;1;2;240;67;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;3;0;65;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;1;3;240;67;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;1;4;0;65;0,7490;719;6;1;1;1;1;1;0
2,7500;2640;1;6;240;65;0,1240;119;1;0;0;0;0;0;0
2,8750;2760;1;6;360;69;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;2;1;0;72;0,3740;359;3;1;0;1;0;0;0
3,3750;3240;2;1;360;74;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;2;2;0;72;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;2;2;240;70;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;2;3;0;67;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;2;3;240;72;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;2;4;0;69;0,7490;719;6;1;1;1;1;1;0
5,7500;5520;2;6;240;69;0,1240;119;1;0;0;0;0;0;0
5,8750;5640;2;6;360;69;0,1240;119;1;0;0;1;0;0;0
6,0000;5760;3;1;0;70;0,3740;359;3;1;0;0;0;0;0
6,3750;6120;3;1;360;69;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;3;2;0;70;0,2490;239;2;0;0;1;1;0;0
6,7500;6480;3;2;240;67;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;3;3;0;69;0,2490;239;2;1;1;1;0;0;0
7,2500;6960;3;3;240;70;0,1240;119;1;0;0;0;0;0;0
7,3750;7080;3;3;360;70;0,1240;119;1;1;0;1;1;0;0
7,5000;7200;3;4;0;72;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;3;4;240;70;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;3;5;0;72;0,2490;239;2;1;0;1;0;0;0
8,2500;7920;3;5;240;69;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;3;6;0;67;0,2490;239;2;0;0;1;0;1;0
8,7500;8400;3;6;240;69;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;4;1;0;70;0,3740;359;3;1;1;0;0;0;0
9,3750;9000;4;1;360;69;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;4;2;0;70;0,2490;239;2;0;0;1;1;0;0
9,7500;9360;4;2;240;67;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;4;3;0;69;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;4;3;240;70;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;4;4;0;72;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;4;4;240;70;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;4;5;0;72;0,2490;239;2;0;0;1;1;0;0
11,2500;10800;4;5;240;69;0,4990;479;4;0;0;0;0;1;0
12,0000;11520;5;1;0;69;0,7490;719;6;1;1;0;0;0;0
12,7500;12240;5;2;240;67;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;5;3;0;65;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;5;3;240;67;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;5;4;0;65;0,7490;719;6;1;1;1;1;1;1
