Signature: 21/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;62;1,4990;1439;12;0;0;0;0;0;0
2,0000;1920;1;5;0;67;1,9990;1919;16;0;0;0;0;0;1
4,0000;3840;1;9;0;74;1,4990;1439;12;1;0;1;0;0;0
5,5000;5280;1;12;0;62;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;1;13;0;69;0,9990;959;8;1;1;1;1;0;0
7,0000;6720;1;15;0;60;1,9990;1919;16;0;0;0;0;1;1
9,0000;8640;1;19;0;60;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;1;19;240;60;0,4990;479;4;1;1;0;0;0;0
9,7500;9360;1;20;240;62;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;1;21;0;57;0,4990;479;4;1;0;1;0;0;0
10,5000;10080;2;1;0;69;0,9990;959;8;0;0;0;0;0;0
11,5000;11040;2;3;0;74;0,7490;719;6;0;0;0;0;0;0
12,2500;11760;2;4;240;76;0,1240;119;1;0;0;0;0;0;0
12,3750;11880;2;4;360;79;0,1240;119;1;0;0;1;0;0;0
12,5000;12000;2;5;0;69;0,4990;479;4;0;0;0;0;0;0
13,0000;12480;2;6;0;74;0,7490;719;6;1;1;1;0;0;0
13,7500;13200;2;7;240;69;0,1240;119;1;0;0;0;0;0;0
13,8750;13320;2;7;360;72;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;2;8;0;67;1,9990;1919;16;1;1;1;1;1;1
