Signature: 1/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;69;0,2490;239;6;1;0;1;0;0;0
0,2500;240;1;1;240;71;0,1656;159;4;0;0;0;0;0;0
0,4167;400;1;1;400;71;0,1656;159;4;0;1;1;0;0;0
0,5833;560;2;1;80;74;0,1656;159;4;0;1;0;0;0;0
0,7500;720;2;1;240;71;0,4990;479;12;0;0;1;1;0;0
1,2500;1200;3;1;240;72;0,4990;479;12;0;0;0;0;0;0
1,7500;1680;4;1;240;74;0,3740;359;9;0;0;1;0;0;0
2,1250;2040;5;1;120;76;0,1240;119;3;0;0;0;0;0;0
2,2500;2160;5;1;240;74;0,7490;719;18;1;1;1;1;1;1
3,0000;2880;7;1;0;71;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;7;1;240;72;0,1656;159;4;1;0;0;0;0;0
3,4167;3280;7;1;400;72;0,1656;159;4;0;0;0;0;0;0
3,5833;3440;8;1;80;74;0,1656;159;4;0;0;0;1;0;0
3,7500;3600;8;1;240;76;0,1656;159;4;1;1;0;0;0;0
3,9167;3760;8;1;400;76;0,1656;159;4;0;0;0;0;0;0
4,0833;3920;9;1;80;76;0,1656;159;4;0;0;0;0;0;0
4,2500;4080;9;1;240;76;0,1656;159;4;0;0;1;0;0;0
4,4167;4240;9;1;400;74;0,1656;159;4;0;0;0;0;0;0
4,5833;4400;10;1;80;76;0,1656;159;4;0;0;0;0;0;0
4,7500;4560;10;1;240;74;0,4990;479;12;0;0;0;0;0;0
5,2500;5040;11;1;240;71;0,4990;479;12;1;1;1;1;1;0
6,0000;5760;13;1;0;74;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;13;1;240;76;0,1656;159;4;0;0;0;0;0;0
6,4167;6160;13;1;400;74;0,1656;159;4;0;0;0;0;0;0
6,5833;6320;14;1;80;76;0,1656;159;4;1;0;1;0;0;0
6,7500;6480;14;1;240;74;0,4990;479;12;0;0;0;0;0;0
7,2500;6960;15;1;240;74;0,4990;479;12;0;0;0;0;0;0
7,7500;7440;16;1;240;74;0,1656;159;4;0;0;1;0;0;0
7,9167;7600;16;1;400;72;0,1656;159;4;0;0;0;0;0;0
8,0833;7760;17;1;80;71;0,1656;159;4;0;0;0;0;0;0
8,2500;7920;17;1;240;72;0,4990;479;12;1;0;1;0;1;0
8,7500;8400;18;1;240;74;0,3740;359;9;0;0;0;0;0;0
9,1250;8760;19;1;120;72;0,1240;119;3;0;0;0;0;0;0
9,2500;8880;19;1;240;71;0,1656;159;4;1;1;0;0;0;0
9,4167;9040;19;1;400;69;0,1656;159;4;0;0;0;0;0;0
9,5833;9200;20;1;80;71;0,1656;159;4;0;0;0;0;0;0
9,7500;9360;20;1;240;74;0,3740;359;9;1;0;1;0;0;0
10,1250;9720;21;1;120;72;0,1240;119;3;0;0;0;0;0;0
10,2500;9840;21;1;240;69;0,4990;479;12;0;0;0;0;0;0
10,7500;10320;22;1;240;67;0,4990;479;12;1;1;1;1;1;0
11,5000;11040;24;1;0;74;0,2490;239;6;0;0;0;0;0;0
11,7500;11280;24;1;240;76;0,1656;159;4;1;0;0;0;0;0
11,9167;11440;24;1;400;78;0,1656;159;4;0;0;0;0;0;0
12,0833;11600;25;1;80;79;0,1656;159;4;0;0;1;0;0;0
12,2500;11760;25;1;240;74;0,4990;479;12;1;0;0;0;0;0
12,7500;12240;26;1;240;74;0,3740;359;9;0;0;1;0;0;0
13,1250;12600;27;1;120;76;0,1240;119;3;0;0;0;0;0;0
13,2500;12720;27;1;240;74;0,1656;159;4;1;1;1;0;0;0
13,4167;12880;27;1;400;72;0,1656;159;4;0;0;0;0;0;0
13,5833;13040;28;1;80;71;0,1656;159;4;0;0;0;0;0;0
13,7500;13200;28;1;240;72;0,4990;479;12;1;0;1;0;1;0
14,2500;13680;29;1;240;74;0,3740;359;9;0;0;0;0;0;0
14,6250;14040;30;1;120;72;0,1240;119;3;0;0;0;0;0;0
14,7500;14160;30;1;240;71;0,1656;159;4;1;1;0;0;0;0
14,9167;14320;30;1;400;69;0,1656;159;4;0;0;0;0;0;0
15,0833;14480;31;1;80;71;0,1656;159;4;0;0;0;0;0;0
15,2500;14640;31;1;240;74;0,3740;359;9;1;1;1;1;0;0
15,6250;15000;32;1;120;72;0,1240;119;3;0;0;0;0;0;0
15,7500;15120;32;1;240;69;0,4990;479;12;0;0;1;0;0;0
16,2500;15600;33;1;240;67;0,4990;479;12;1;1;1;1;1;1
