Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,2490;239;6;0;0;1;0;0;0
0,2500;240;1;1;240;61;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,2490;239;6;0;0;0;0;0;0
0,7500;720;1;2;240;66;0,2490;239;6;0;0;0;0;0;0
1,0000;960;2;1;0;74;0,7490;719;18;1;0;1;1;0;0
1,7500;1680;2;2;240;73;0,1240;119;3;0;0;0;0;0;0
1,8750;1800;2;2;360;71;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;73;0,3740;359;9;1;1;1;0;0;0
2,3750;2280;3;1;360;69;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;3;2;0;64;0,4990;479;12;1;0;1;1;1;0
3,5000;3360;4;2;0;62;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;4;2;240;64;0,2490;239;6;0;0;0;0;0;0
4,0000;3840;5;1;0;68;0,4990;479;12;1;1;1;0;0;0
4,5000;4320;5;2;0;73;0,2490;239;6;0;0;0;0;0;0
4,7500;4560;5;2;240;71;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;6;1;0;71;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;6;1;240;69;0,7490;719;18;1;1;1;0;1;0
6,0000;5760;7;1;0;64;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;7;1;240;61;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;7;2;0;62;0,2490;239;6;0;0;0;0;0;0
6,7500;6480;7;2;240;66;0,2490;239;6;0;0;1;1;0;0
7,0000;6720;8;1;0;78;0,4990;479;12;1;0;0;0;0;0
7,5000;7200;8;2;0;76;0,2490;239;6;0;0;0;0;0;0
7,7500;7440;8;2;240;74;0,2490;239;6;0;0;0;0;0;0
8,0000;7680;9;1;0;80;0,3740;359;9;1;0;1;0;0;0
8,3750;8040;9;1;360;74;0,1240;119;3;0;0;0;0;0;0
