Signature: 5/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,2490;239;3;0;0;0;0;0;0
0,2500;240;1;1;240;62;0,2490;239;3;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,2490;239;3;1;0;1;1;0;0
0,7500;720;1;2;240;69;0,2490;239;3;0;0;0;0;0;0
1,0000;960;1;3;0;67;0,2490;239;3;0;0;0;0;0;0
1,2500;1200;1;3;240;69;0,4990;479;6;1;0;1;0;0;0
1,7500;1680;1;4;240;67;0,2490;239;3;0;0;0;0;0;0
2,0000;1920;1;5;0;65;0,2490;239;3;0;0;0;0;0;0
2,2500;2160;1;5;240;64;0,4990;479;6;1;1;1;1;1;0
3,0000;2880;2;2;0;62;0,2490;239;3;0;0;0;0;0;0
3,2500;3120;2;2;240;65;0,2490;239;3;0;0;0;0;0;0
3,5000;3360;2;3;0;64;0,2490;239;3;0;0;0;0;0;0
3,7500;3600;2;3;240;62;0,4990;479;6;1;0;1;0;0;0
4,2500;4080;2;4;240;69;0,4990;479;6;0;0;0;0;0;0
4,7500;4560;2;5;240;67;0,2490;239;3;0;0;0;0;0;0
5,0000;4800;3;1;0;65;0,2490;239;3;0;0;0;0;0;0
5,2500;5040;3;1;240;65;0,4990;479;6;1;1;1;0;0;0
5,7500;5520;3;2;240;65;0,2490;239;3;0;0;0;0;0;0
6,0000;5760;3;3;0;64;0,2490;239;3;1;0;0;0;0;0
6,2500;6000;3;3;240;62;0,4990;479;6;0;0;1;1;1;0
6,7500;6480;3;4;240;69;0,4990;479;6;1;1;0;0;0;0
7,2500;6960;3;5;240;62;0,2490;239;3;0;0;1;0;0;0
7,5000;7200;4;1;0;65;0,2490;239;3;0;0;0;0;0;0
7,7500;7440;4;1;240;65;0,2490;239;3;0;0;0;0;0;0
8,0000;7680;4;2;0;64;0,2490;239;3;1;0;1;0;0;0
8,2500;7920;4;2;240;62;0,2490;239;3;0;0;0;0;0;0
8,5000;8160;4;3;0;62;0,2490;239;3;0;0;0;0;0;0
8,7500;8400;4;3;240;62;0,2490;239;3;0;0;1;0;0;0
9,0000;8640;4;4;0;64;0,2490;239;3;0;0;0;0;0;0
9,2500;8880;4;4;240;65;0,4990;479;6;0;0;0;1;1;0
9,7500;9360;4;5;240;62;0,4990;479;6;1;0;0;0;0;0
10,2500;9840;5;1;240;65;0,2490;239;3;0;0;0;0;0;0
10,5000;10080;5;2;0;64;0,2490;239;3;0;0;0;0;0;0
10,7500;10320;5;2;240;62;0,4990;479;6;1;1;1;1;0;0
11,5000;11040;5;4;0;69;0,2490;239;3;0;0;0;0;0;0
11,7500;11280;5;4;240;67;0,1656;159;2;1;0;0;0;0;0
11,9167;11440;5;4;400;65;0,1656;159;2;0;0;0;0;0;0
12,0833;11600;5;5;80;64;0,1656;159;2;0;0;0;0;0;0
12,2500;11760;5;5;240;62;0,4990;479;6;1;1;1;1;1;1
