Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;67;0,2490;239;2;0;0;0;0;0;0
0,5000;480;1;2;0;66;0,2490;239;2;1;0;1;0;0;0
0,7500;720;1;2;240;64;0,1240;119;1;0;0;0;0;0;0
0,8750;840;1;2;360;62;0,1240;119;1;0;0;0;0;0;0
1,0000;960;2;1;0;66;0,3740;359;3;1;0;1;0;0;0
1,3750;1320;2;1;360;64;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;2;2;0;62;0,4990;479;4;1;1;1;1;1;1
2,0000;1920;3;1;0;76;0,1240;119;1;0;0;0;0;0;0
2,1250;2040;3;1;120;79;0,1240;119;1;0;0;1;0;0;0
2,2500;2160;3;1;240;71;0,2490;239;2;1;0;0;0;0;0
2,5000;2400;3;2;0;74;0,1240;119;1;0;0;0;0;0;0
2,6250;2520;3;2;120;76;0,1240;119;1;1;0;1;0;0;0
2,7500;2640;3;2;240;71;0,1240;119;1;0;0;0;0;0;0
2,8750;2760;3;2;360;69;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;67;0,4990;479;4;0;0;0;0;0;1
3,5000;3360;4;2;0;64;0,4990;479;4;1;1;1;1;1;1
4,0000;3840;5;1;0;76;0,1240;119;1;0;0;0;0;0;0
4,1250;3960;5;1;120;79;0,1240;119;1;0;0;0;0;0;0
4,2500;4080;5;1;240;76;0,1240;119;1;1;0;1;0;0;0
4,3750;4200;5;1;360;71;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;5;2;0;74;0,1240;119;1;0;0;0;0;0;0
4,6250;4440;5;2;120;73;0,1240;119;1;1;1;1;0;0;0
4,7500;4560;5;2;240;71;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;6;1;0;69;0,2490;239;2;1;0;0;0;0;0
5,2500;5040;6;1;240;71;0,1240;119;1;0;0;0;0;0;0
5,3750;5160;6;1;360;69;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;6;2;0;67;0,4990;479;4;1;1;1;0;1;1
6,0000;5760;7;1;0;72;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;7;1;240;64;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;7;2;0;67;0,2490;239;2;1;0;0;0;0;0
6,7500;6480;7;2;240;66;0,1240;119;1;0;0;0;0;0;0
6,8750;6600;7;2;360;64;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;8;1;0;62;0,9990;959;8;1;1;1;1;1;1
8,0000;7680;9;1;0;76;0,1240;119;1;0;0;0;0;0;0
8,1250;7800;9;1;120;79;0,1240;119;1;0;0;0;0;0;0
8,2500;7920;9;1;240;76;0,1240;119;1;0;0;0;0;0;0
8,3750;8040;9;1;360;71;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;9;2;0;74;0,2490;239;2;1;0;1;0;0;0
8,7500;8400;9;2;240;73;0,1240;119;1;0;0;0;0;0;0
8,8750;8520;9;2;360;71;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;10;1;0;69;0,2490;239;2;1;0;1;0;0;0
9,2500;8880;10;1;240;71;0,1240;119;1;0;0;0;0;0;0
9,3750;9000;10;1;360;69;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;10;2;0;67;0,4990;479;4;1;1;1;0;1;1
10,0000;9600;11;1;0;72;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;11;1;240;64;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;11;2;0;67;0,2490;239;2;1;0;1;1;0;0
10,7500;10320;11;2;240;54;0,1240;119;1;0;0;0;0;0;0
10,8750;10440;11;2;360;64;0,1240;119;1;0;0;0;0;0;0
11,0000;10560;12;1;0;62;0,9990;959;8;1;1;1;1;1;1
