Signature: 3/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;76;0,2490;239;6;0;0;1;1;0;0
0,2500;240;1;1;240;73;0,3740;359;9;1;1;0;0;0;0
0,6250;600;1;2;120;73;0,1240;119;3;0;0;0;0;0;0
0,7500;720;1;2;240;73;0,3740;359;9;1;0;1;0;0;0
1,1250;1080;1;3;120;73;0,1240;119;3;0;0;0;0;0;0
1,2500;1200;1;3;240;73;0,2490;239;6;0;0;0;0;0;0
1,5000;1440;2;1;0;69;0,2490;239;6;1;0;1;0;1;0
2,2500;2160;2;2;240;73;0,2490;239;6;0;0;0;0;0;0
2,5000;2400;2;3;0;69;0,2490;239;6;1;1;1;1;0;0
3,0000;2880;3;1;0;76;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;3;1;240;73;0,1656;159;4;0;0;0;0;0;0
3,4167;3280;3;1;400;73;0,1656;159;4;0;0;0;0;0;0
3,5833;3440;3;2;80;73;0,1656;159;4;0;0;0;0;0;0
3,7500;3600;3;2;240;73;0,2490;239;6;0;0;1;0;0;0
4,0000;3840;3;3;0;73;0,2490;239;6;0;0;0;0;0;0
4,2500;4080;3;3;240;73;0,2490;239;6;0;0;0;0;0;0
4,5000;4320;4;1;0;69;0,2490;239;6;1;0;1;0;1;0
5,2500;5040;4;2;240;73;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;4;3;0;69;0,2490;239;6;1;1;1;1;0;0
6,0000;5760;5;1;0;76;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;5;1;240;73;0,3740;359;9;1;0;0;0;0;0
6,6250;6360;5;2;120;73;0,1240;119;3;0;0;0;0;0;0
6,7500;6480;5;2;240;73;0,3740;359;9;1;0;1;0;0;0
7,1250;6840;5;3;120;73;0,1240;119;3;0;0;0;0;0;0
7,2500;6960;5;3;240;73;0,4990;479;12;1;1;1;1;1;0
8,0000;7680;6;2;0;76;0,2490;239;6;0;0;0;0;0;0
8,2500;7920;6;2;240;78;0,2490;239;6;0;0;0;0;0;0
8,5000;8160;6;3;0;76;0,2490;239;6;0;0;0;0;0;0
8,7500;8400;6;3;240;74;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;7;1;0;73;0,2490;239;6;0;0;0;0;0;0
9,2500;8880;7;1;240;71;0,7490;719;18;1;1;1;1;1;0
10,0000;9600;7;3;0;69;0,2490;239;6;0;0;0;0;0;0
10,2500;9840;7;3;240;68;0,2490;239;6;0;0;1;0;0;0
10,5000;10080;8;1;0;71;0,2490;239;6;0;0;0;0;0;0
10,7500;10320;8;1;240;74;0,2490;239;6;0;0;0;0;0;0
11,0000;10560;8;2;0;76;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;8;2;240;80;0,7490;719;18;1;1;1;1;0;0
12,0000;11520;9;1;0;78;0,2490;239;6;0;0;0;0;0;0
12,2500;11760;9;1;240;76;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;9;2;0;76;0,2490;239;6;1;0;1;0;0;0
12,7500;12240;9;2;240;74;0,2490;239;6;0;0;0;0;0;0
13,0000;12480;9;3;0;74;0,2490;239;6;0;0;0;0;0;0
13,2500;12720;9;3;240;73;0,4990;479;12;1;1;1;1;1;0
14,0000;13440;10;2;0;76;0,2490;239;6;0;0;0;0;0;0
14,2500;13680;10;2;240;73;0,3740;359;9;1;0;0;0;0;0
14,6250;14040;10;3;120;73;0,1240;119;3;0;0;0;0;0;0
14,7500;14160;10;3;240;73;0,3740;359;9;1;0;1;0;0;0
15,1250;14520;11;1;120;73;0,1240;119;3;0;0;0;0;0;0
15,2500;14640;11;1;240;73;0,4990;479;12;1;1;1;1;1;0
16,0000;15360;11;3;0;76;0,2490;239;6;0;0;0;0;0;0
16,2500;15600;11;3;240;78;0,2490;239;6;0;0;0;0;0;0
16,5000;15840;12;1;0;76;0,2490;239;6;0;0;0;0;0;0
16,7500;16080;12;1;240;74;0,2490;239;6;0;0;0;0;0;0
17,0000;16320;12;2;0;73;0,2490;239;6;0;0;0;0;0;0
17,2500;16560;12;2;240;71;0,7490;719;18;1;1;1;1;0;0
18,0000;17280;13;1;0;69;0,2490;239;6;0;0;0;0;0;0
18,2500;17520;13;1;240;68;0,2490;239;6;0;0;1;0;0;0
18,5000;17760;13;2;0;71;0,2490;239;6;0;0;0;0;0;0
18,7500;18000;13;2;240;74;0,2490;239;6;0;0;0;0;0;0
19,0000;18240;13;3;0;76;0,2490;239;6;0;0;0;0;0;0
19,2500;18480;13;3;240;80;0,7490;719;18;1;1;1;1;1;0
20,0000;19200;14;2;0;78;0,2490;239;6;0;0;0;0;0;0
20,2500;19440;14;2;240;76;0,2490;239;6;0;0;0;0;0;0
20,5000;19680;14;3;0;76;0,2490;239;6;1;0;1;0;0;0
20,7500;19920;14;3;240;74;0,2490;239;6;0;0;0;0;0;0
21,0000;20160;15;1;0;74;0,2490;239;6;0;0;1;0;0;0
21,2500;20400;15;1;240;73;0,4990;479;12;1;1;1;1;1;1
