Signature: 3/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,2490;239;2;0;0;1;0;0;0
0,2500;240;1;1;240;69;0,3740;359;3;1;0;0;0;0;0
0,6250;600;1;2;120;69;0,1240;119;1;0;0;1;1;0;0
0,7500;720;1;2;240;81;0,3740;359;3;1;1;0;0;0;0
1,1250;1080;1;3;120;78;0,1240;119;1;0;0;0;0;0;0
1,2500;1200;1;3;240;76;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;2;1;0;76;0,1240;119;1;0;0;1;0;0;0
1,6250;1560;2;1;120;73;0,1240;119;1;0;0;0;0;0;0
1,7500;1680;2;1;240;76;0,3740;359;3;1;1;1;1;1;0
2,1250;2040;2;2;120;73;0,1240;119;1;0;0;0;0;0;0
2,2500;2160;2;2;240;73;0,1240;119;1;0;0;1;0;0;0
2,3750;2280;2;2;360;71;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;2;3;0;71;0,2490;239;2;1;0;0;0;0;0
2,7500;2640;2;3;240;71;0,1240;119;1;0;0;1;0;0;0
2,8750;2760;2;3;360;68;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;3;1;0;68;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;3;1;240;69;0,4990;479;4;1;0;1;1;1;1
4,1250;3960;3;3;120;64;0,1240;119;1;0;0;0;0;0;0
4,2500;4080;3;3;240;69;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;4;1;0;69;0,2490;239;2;0;0;1;0;0;0
4,7500;4560;4;1;240;81;0,3740;359;3;1;1;0;0;0;0
5,1250;4920;4;2;120;78;0,1240;119;1;0;0;0;0;0;0
5,2500;5040;4;2;240;76;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;4;3;0;76;0,1240;119;1;0;0;1;0;0;0
5,6250;5400;4;3;120;73;0,1240;119;1;0;0;0;0;0;0
5,7500;5520;4;3;240;76;0,3740;359;3;1;1;1;1;1;0
6,1250;5880;5;1;120;73;0,1240;119;1;0;0;0;0;0;0
6,2500;6000;5;1;240;73;0,1240;119;1;0;0;1;0;0;0
6,3750;6120;5;1;360;71;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;5;2;0;71;0,2490;239;2;1;0;0;0;0;0
6,7500;6480;5;2;240;71;0,1240;119;1;0;0;1;0;0;0
6,8750;6600;5;2;360;68;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;5;3;0;68;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;5;3;240;69;0,4990;479;4;1;1;1;1;1;1
8,0000;7680;6;2;0;69;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;6;2;240;73;0,1240;119;1;0;0;0;0;0;0
8,3750;8040;6;2;360;71;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;6;3;0;71;0,1240;119;1;0;0;0;0;0;0
8,6250;8280;6;3;120;74;0,1240;119;1;0;0;0;0;0;0
8,7500;8400;6;3;240;71;0,3740;359;3;1;1;1;0;0;0
9,1250;8760;7;1;120;71;0,1240;119;1;0;0;0;0;0;0
9,2500;8880;7;1;240;73;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;7;2;0;73;0,1240;119;1;0;0;0;0;0;0
9,6250;9240;7;2;120;76;0,1240;119;1;0;0;0;0;0;0
9,7500;9360;7;2;240;73;0,3740;359;3;1;0;1;1;1;0
10,1250;9720;7;3;120;73;0,1240;119;1;0;0;0;0;0;0
10,2500;9840;7;3;240;73;0,1240;119;1;1;0;1;0;0;0
10,3750;9960;7;3;360;71;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;8;1;0;71;0,1240;119;1;0;0;0;0;0;0
10,6250;10200;8;1;120;74;0,1240;119;1;0;0;0;0;0;0
10,7500;10320;8;1;240;71;0,3740;359;3;1;0;1;1;0;0
11,1250;10680;8;2;120;71;0,1240;119;1;0;0;0;0;0;0
11,2500;10800;8;2;240;73;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;8;3;0;73;0,1240;119;1;0;0;1;0;0;0
11,6250;11160;8;3;120;76;0,1240;119;1;0;0;0;0;0;0
11,7500;11280;8;3;240;73;0,3740;359;3;1;1;1;0;1;0
12,1250;11640;9;1;120;64;0,1240;119;1;0;0;0;0;0;0
12,2500;11760;9;1;240;69;0,3740;359;3;1;0;0;0;0;0
12,6250;12120;9;2;120;69;0,1240;119;1;0;0;1;1;0;0
12,7500;12240;9;2;240;81;0,3740;359;3;1;1;0;0;0;0
13,1250;12600;9;3;120;78;0,1240;119;1;0;0;0;0;0;0
13,2500;12720;9;3;240;76;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;10;1;0;76;0,1240;119;1;0;0;1;0;0;0
13,6250;13080;10;1;120;73;0,1240;119;1;0;0;0;0;0;0
13,7500;13200;10;1;240;76;0,3740;359;3;1;1;1;1;1;0
14,1250;13560;10;2;120;73;0,1240;119;1;0;0;0;0;0;0
14,2500;13680;10;2;240;73;0,1240;119;1;0;0;1;0;0;0
14,3750;13800;10;2;360;71;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;10;3;0;71;0,2490;239;2;1;1;0;0;0;0
14,7500;14160;10;3;240;71;0,1240;119;1;0;0;1;1;0;0
14,8750;14280;10;3;360;68;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;11;1;0;68;0,2490;239;2;0;0;1;0;0;0
15,2500;14640;11;1;240;69;0,4990;479;4;1;1;1;1;1;1
