Signature: 28/1, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;69;0,4990;479;4;1;1;0;0;0;0
0,5000;480;1;2;0;67;0,2490;239;2;0;0;1;1;0;0
0,7500;720;1;2;240;71;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;3;0;72;0,2490;239;2;1;0;0;0;0;0
1,2500;1200;1;3;240;74;0,4990;479;4;0;0;0;0;1;0
1,7500;1680;1;4;240;76;0,4990;479;4;1;1;1;0;0;0
2,2500;2160;1;5;240;74;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;1;6;0;74;0,2490;239;2;0;0;1;0;0;0
2,7500;2640;1;6;240;76;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;1;7;0;74;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;1;7;240;72;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;1;8;0;74;0,2490;239;2;1;0;1;0;0;0
3,7500;3600;1;8;240;72;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;1;9;0;71;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;1;9;240;72;0,4990;479;4;1;1;1;0;1;0
4,7500;4560;1;10;240;74;0,4990;479;4;0;0;0;0;0;0
5,2500;5040;1;11;240;74;0,4990;479;4;1;1;1;1;0;0
5,7500;5520;1;12;240;67;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;1;13;0;74;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;1;13;240;72;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;1;14;0;72;0,2490;239;2;0;0;1;0;0;0
6,7500;6480;1;14;240;74;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;1;15;0;76;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;1;15;240;74;0,2490;239;2;1;0;1;0;0;0
7,5000;7200;1;16;0;72;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;1;16;240;71;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;1;17;0;72;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;1;17;240;74;0,4990;479;4;0;0;1;0;1;0
8,7500;8400;1;18;240;72;0,4990;479;4;0;0;0;0;0;0
9,2500;8880;1;19;240;71;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;1;20;0;72;0,4990;479;4;1;1;1;1;0;0
10,0000;9600;1;21;0;74;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;1;21;240;72;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;1;22;0;71;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;1;22;240;69;0,2490;239;2;1;0;1;0;0;0
11,0000;10560;1;23;0;71;0,1240;119;1;0;0;0;0;0;0
11,1250;10680;1;23;120;72;0,1240;119;1;1;0;0;0;0;0
11,2500;10800;1;23;240;71;0,2490;239;2;0;0;1;0;1;0
11,5000;11040;1;24;0;72;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;1;24;240;71;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;1;25;0;69;0,2490;239;2;1;0;1;0;0;0
12,2500;11760;1;25;240;72;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;1;26;0;71;0,2490;239;2;0;0;0;0;0;0
12,7500;12240;1;26;240;69;0,2490;239;2;0;1;0;0;0;0
13,0000;12480;1;27;0;71;0,4990;479;4;0;0;1;0;0;0
13,5000;12960;1;28;0;72;0,4990;479;4;0;0;0;0;0;0
14,0000;13440;2;1;0;74;0,4990;479;4;1;1;1;1;1;0
14,7500;14160;2;2;240;76;0,4990;479;4;0;0;0;0;0;0
15,2500;14640;2;3;240;74;0,4990;479;4;0;0;0;0;0;0
15,7500;15120;2;4;240;72;0,4990;479;4;1;0;1;0;0;0
16,2500;15600;2;5;240;71;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;2;6;0;69;0,2490;239;2;0;0;0;0;0;0
16,7500;16080;2;6;240;71;0,2490;239;2;0;0;0;0;0;0
17,0000;16320;2;7;0;67;0,4990;479;4;0;0;1;0;0;0
17,5000;16800;2;8;0;74;0,7490;719;6;1;0;0;0;1;0
18,2500;17520;2;9;240;72;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;2;10;0;71;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;2;10;240;69;0,4990;479;4;1;1;1;1;0;0
19,2500;18480;2;11;240;76;0,2490;239;2;0;0;0;0;0;0
19,5000;18720;2;12;0;76;0,2490;239;2;0;0;1;0;0;0
19,7500;18960;2;12;240;74;0,2490;239;2;0;0;0;0;0;0
20,0000;19200;2;13;0;74;0,7490;719;6;1;1;1;1;1;0
21,0000;20160;2;15;0;69;0,4990;479;4;0;0;0;0;0;0
21,5000;20640;2;16;0;67;0,2490;239;2;0;0;0;0;0;0
