Signature: 6/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,1240;119;3;0;0;0;0;0;0
0,1250;120;1;1;120;70;0,1240;119;3;0;0;0;0;0;0
0,2500;240;1;1;240;72;0,3740;359;9;1;1;1;1;0;0
0,6250;600;1;2;120;70;0,1240;119;3;0;0;0;0;0;0
0,7500;720;1;2;240;72;0,2490;239;6;1;0;1;0;0;0
1,0000;960;1;3;0;70;0,1240;119;3;0;0;0;0;0;0
1,1250;1080;1;3;120;67;0,1240;119;3;0;0;0;0;0;0
1,2500;1200;1;3;240;70;0,1240;119;3;0;0;0;0;0;0
1,3750;1320;1;3;360;67;0,1240;119;3;1;0;0;0;0;0
1,5000;1440;1;4;0;65;0,2490;239;6;0;0;0;0;1;0
1,7500;1680;1;4;240;67;0,2490;239;6;0;0;1;1;0;0
2,0000;1920;1;5;0;72;0,1656;159;4;1;1;0;0;0;0
2,1667;2080;1;5;160;70;0,0823;79;2;0;0;0;0;0;0
2,2500;2160;1;5;240;72;0,1240;119;3;0;0;1;0;0;0
2,3750;2280;1;5;360;70;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;1;6;0;67;0,2490;239;6;1;1;1;1;1;1
